account_id,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total,name
50964,3.3,0.0,6.6,0.642,1.478,0.0,0.0,2.0,0.5,1.25,4.0,6.487,26.257,Lewis
26793089,3.6,0.9,6.9,0.567,1.532,1.0,1.0,12.0,1.5,2.5,0.0,10.373,41.872,Hynips
60329701,0.9,3.3,5.4,0.372,1.296,0.0,0.0,9.0,0.5,1.5,0.0,0.2,22.468,OgreHakim
65159250,3.3,2.1,2.4,2.412,2.37,0.0,0.0,0.0,2.5,2.0,0.0,0.543,17.625,Leiya
71551920,8.7,4.2,5.7,1.512,2.512,7.0,0.0,2.0,0.5,4.5,0.0,5.255,41.879,Faith
80749349,1.2,1.8,1.95,0.354,1.11,1.0,0.0,9.5,3.0,2.25,4.0,5.52,31.684,Cunny
84712191,3.9,2.4,3.6,0.609,1.442,1.0,0.0,15.0,1.0,3.75,8.0,16.722,57.423,REGURGITARD
86546993,2.7,2.7,4.8,1.797,1.978,4.0,0.0,0.0,1.5,2.25,0.0,12.182,33.907,un Bastien
89873399,2.1,1.8,6.3,0.531,1.55,0.0,1.0,6.0,1.5,1.75,0.0,6.05,28.581,hungrybrowny
95706137,5.7,2.4,7.65,0.216,1.74,1.0,0.0,15.5,3.5,4.0,0.0,5.223,46.929,Ragicarpe
102879403,7.8,1.8,4.65,2.751,2.78,6.0,4.0,0.0,0.0,2.5,0.0,8.958,41.239,Wiolarz
105461157,3.3,0.3,7.05,0.612,1.544,0.0,0.0,9.0,1.0,1.5,0.0,13.022,37.328,Low Expectations
110881046,3.0,1.5,2.7,2.511,2.244,3.0,0.0,2.0,0.5,5.75,0.0,6.217,29.422,jihapse
111886427,3.0,1.2,7.05,0.399,1.472,0.0,0.0,19.5,0.5,1.0,0.0,1.225,35.346,Nappa
113312766,5.4,3.0,1.65,1.653,2.06,3.0,0.0,2.5,1.0,4.5,0.0,3.775,28.538,play
126607959,7.5,2.4,5.25,3.255,3.07,3.0,1.0,0.0,4.5,0.75,0.0,4.372,35.097,Tilty
127038234,3.9,1.2,7.95,0.705,1.496,0.0,0.0,2.5,3.0,0.75,0.0,6.113,27.614,Magma
127524729,11.4,3.9,3.75,3.153,3.284,7.0,2.0,0.0,0.5,2.25,0.0,4.457,41.694,Aaz3
127714243,5.7,1.5,5.55,2.094,2.462,1.0,1.0,0.0,4.5,2.5,4.0,4.355,34.661,Tsenme
134600696,2.4,0.0,6.75,0.438,1.426,2.0,0.0,12.5,2.5,1.25,0.0,9.382,38.646,Muko
135737819,2.7,3.0,3.45,1.779,2.052,4.0,1.0,0.0,0.5,1.25,0.0,1.548,21.279,
135738807,1.5,0.0,1.95,0.462,1.028,0.0,0.0,9.5,1.0,0.5,0.0,7.83,23.77,
146542636,12.9,2.7,3.9,3.408,3.79,13.0,1.0,0.0,2.5,2.25,0.0,2.038,47.486,Reddydas
149253098,5.7,4.2,4.95,1.686,2.246,7.0,1.0,1.5,0.0,7.5,0.0,0.375,36.157,Jeri
150522382,0.6,0.3,5.85,0.336,1.172,1.0,0.0,8.0,6.0,1.25,0.0,3.12,27.628,Luke
153031584,4.8,0.0,4.95,1.245,1.724,2.0,0.0,0.0,1.0,0.75,0.0,3.988,20.457,RedRabbit
169606098,3.6,4.5,4.95,0.429,1.248,0.0,0.0,9.0,5.5,1.75,0.0,23.793,54.77,reload
178007846,12.6,2.4,4.2,1.467,2.446,5.0,1.0,1.5,0.0,7.0,4.0,14.96,56.573,Phantom
183938343,4.5,4.2,5.4,2.769,2.856,3.0,0.0,2.0,0.5,4.5,0.0,12.482,42.207,backwardshello
188263974,6.0,3.0,6.3,1.524,2.358,1.0,0.0,0.0,2.0,2.0,4.0,4.462,32.644,Owl
196936346,7.5,4.5,3.0,2.163,2.554,6.0,0.0,2.0,0.5,7.5,4.0,3.995,43.712,YaBoiTheJebait
207300381,0.6,1.5,2.1,0.756,1.326,1.0,1.0,8.0,1.5,3.0,0.0,2.473,23.255,AA
243368997,1.5,2.1,6.0,0.312,1.398,1.0,0.0,12.0,4.0,0.5,0.0,0.25,29.06,Kot
311078326,2.4,3.9,4.65,1.653,2.102,2.0,0.0,0.0,0.0,1.0,0.0,5.947,23.652,Exy-
324942638,8.7,4.8,2.25,2.853,3.116,9.0,2.0,0.0,1.5,2.5,4.0,1.345,42.064,mouceen
338052760,2.4,0.3,4.2,0.813,1.352,0.0,0.0,6.5,0.0,1.75,0.0,3.37,20.685,
347405447,3.0,3.3,7.05,0.807,1.89,2.0,0.0,0.0,0.5,1.25,0.0,4.745,24.542,HyPeR
416118852,5.7,1.8,2.25,3.117,2.668,4.0,0.0,0.0,1.5,1.25,0.0,2.325,24.61,pandapanther
443805795,6.6,0.9,4.65,1.872,2.386,1.0,0.0,2.0,1.0,6.75,4.0,8.375,39.533,Rimuru
465095630,2.1,0.0,4.8,0.675,1.412,0.0,0.0,12.5,3.5,2.25,4.0,3.073,34.31,Aty
854684906,5.4,0.0,3.15,2.253,2.266,2.0,1.0,0.0,1.5,0.75,0.0,0.718,19.037,Drunken
1020037084,5.4,4.5,2.4,2.466,2.756,8.0,3.0,0.0,3.0,1.25,0.0,0.387,33.159,Karma/My2Karma 
