account_id,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total,name
50964,1.8,0.0,8.1,0.324,1.218,0.0,0.0,2.5,0.5,2.25,0.0,4.973,21.665,Lewis
238228,1.5,0.0,6.3,0.588,1.292,1.0,0.0,10.0,6.5,0.5,0.0,11.652,39.332,Performance
26793089,3.3,0.6,7.35,0.813,1.51,1.0,0.0,12.0,0.5,1.0,4.0,2.895,34.968,Hynips
46739074,8.4,3.0,6.75,1.995,2.638,3.0,3.0,1.5,6.5,7.25,0.0,2.891,46.924,
60329701,2.7,4.8,4.05,0.219,1.342,0.0,0.0,9.0,1.0,2.25,0.0,3.735,29.096,OgreHakim
65159250,9.6,3.3,5.55,2.676,2.98,10.0,0.0,0.0,2.0,2.0,4.0,0.885,42.991,Leiya
71551920,8.4,4.2,5.85,1.512,2.578,4.0,0.0,1.5,1.0,4.75,0.0,0.53,34.32,Faith
78114459,2.1,0.6,1.35,1.863,2.246,1.0,0.0,0.0,3.0,0.5,4.0,1.187,17.846,canin
80749349,3.0,1.2,7.65,0.783,1.66,2.0,0.0,9.5,7.0,2.0,0.0,1.403,36.196,Cunny
84712191,2.4,3.6,7.2,0.555,1.716,3.0,0.0,5.0,1.0,1.5,0.0,0.795,26.766,REGURGITARD
86546993,3.3,1.2,7.65,1.938,2.2,1.0,0.0,0.0,0.5,0.5,4.0,5.017,27.305,un Bastien
86776312,2.1,0.9,8.55,0.381,1.298,1.0,0.0,14.5,2.5,1.25,4.0,0.282,36.761,Toneeh/Tony
89873399,3.0,2.4,3.75,0.537,1.478,0.0,0.0,2.5,0.0,1.75,0.0,1.842,17.257,hungrybrowny
93627869,4.8,0.6,4.65,2.388,1.952,3.0,2.0,1.0,1.5,3.75,0.0,5.223,30.863,Lanfe4r
94550441,12.0,3.6,6.3,2.292,2.514,3.0,1.0,2.0,0.0,6.5,0.0,3.424,42.63,Eeshie
95706137,3.3,0.3,7.05,0.258,1.418,1.0,0.0,16.0,0.0,1.25,0.0,6.83,37.406,Ragicarpe
102879403,10.5,1.5,6.3,2.268,2.818,5.0,2.0,0.0,1.0,1.5,0.0,5.813,38.699,Wiolarz
105461157,7.5,3.0,7.5,1.371,1.828,4.0,0.0,11.0,0.5,2.5,0.0,10.513,49.712,Low Expectations
105900867,6.3,4.5,3.3,2.841,2.664,6.0,1.0,0.0,0.0,1.25,0.0,2.597,30.452,OwN
110881046,3.6,1.8,3.15,1.743,2.352,2.0,0.0,0.5,0.0,5.5,0.0,4.053,24.698,jihapse
111886427,0.9,0.6,5.4,0.264,1.118,2.0,0.0,16.5,0.0,0.75,0.0,6.188,33.72,Nappa
126607959,6.9,3.0,8.25,4.545,3.14,9.0,2.0,0.0,1.5,1.5,4.0,3.06,46.895,Tilty
127038234,0.9,0.0,4.8,0.639,1.186,0.0,0.0,3.0,9.0,0.25,0.0,3.125,22.9,Magma
127524729,4.5,0.3,2.55,2.772,2.574,1.0,1.0,0.0,1.0,1.5,0.0,1.122,18.318,Aaz3
127714243,4.5,0.0,3.75,1.608,1.906,1.0,0.0,0.5,0.5,2.0,0.0,11.834,27.598,Tsenme
134600696,3.0,1.8,9.15,0.711,1.496,0.0,0.0,14.0,0.0,0.5,0.0,8.512,39.169,Muko
143642783,2.4,1.2,3.3,0.204,1.052,0.0,0.0,7.5,5.0,1.25,0.0,3.64,25.546,Jam Apple YNWA
146542636,8.4,1.8,3.45,3.801,3.476,11.0,0.0,0.0,3.5,1.25,0.0,2.192,38.869,Reddydas
149253098,7.2,2.1,2.85,1.662,2.032,0.0,0.0,1.0,0.5,4.25,0.0,0.05,21.644,Jeri
150522382,1.8,1.2,4.5,0.165,1.132,0.0,0.0,6.5,4.5,1.0,0.0,0.125,20.922,Luke
153031584,4.5,1.8,7.2,1.53,1.67,4.0,0.0,0.5,0.5,2.5,0.0,1.433,25.633,RedRabbit
160702825,2.1,2.1,7.35,0.486,1.472,0.0,0.0,4.0,7.0,0.75,4.0,1.843,31.101,Unseelie
167618363,3.6,0.6,4.35,1.2,1.782,2.0,0.0,0.0,0.5,0.5,0.0,0.0,14.532,Trixxy
169606098,3.9,1.2,6.3,0.738,1.666,0.0,0.0,6.5,14.0,2.0,0.0,7.317,43.621,reload
174339440,5.4,2.1,3.3,2.139,2.328,3.0,1.0,0.5,4.0,2.75,0.0,4.702,31.219,Beatbulldog
178007846,9.6,2.4,4.2,1.932,2.4,4.0,0.0,1.5,1.5,8.0,0.0,0.0,35.532,Phantom
179417772,6.6,1.2,7.95,0.975,1.882,6.0,2.0,3.5,0.0,0.5,0.0,1.09,31.697,Tefrick
183135545,0.6,0.0,3.45,0.156,0.902,0.0,0.0,7.0,2.0,0.25,4.0,7.877,26.235,Ash
183938343,5.7,3.6,2.85,1.344,2.272,1.0,0.0,1.5,0.5,3.0,0.0,8.879,30.645,backwardshello
186001678,3.9,0.9,5.55,1.137,1.668,0.0,0.0,13.5,1.0,1.25,0.0,7.137,36.042,Beno
188263974,6.0,2.4,4.05,1.317,2.16,1.0,1.0,1.0,0.0,2.75,0.0,3.247,24.924,Owl
196936346,6.9,0.9,3.9,1.938,2.406,1.0,0.0,2.0,1.5,4.25,0.0,0.947,25.741,YaBoiTheJebait
207300381,3.0,0.9,8.4,0.576,1.528,0.0,0.0,11.5,1.5,1.5,0.0,2.625,31.529,AA
241158366,1.5,1.5,3.15,0.945,1.46,1.0,0.0,1.0,0.0,0.25,0.0,4.168,14.973,Drregron
243368997,5.4,3.3,3.9,0.315,1.448,0.0,0.0,8.5,1.5,0.5,4.0,6.373,35.236,Kot
256487232,2.4,0.0,4.8,0.444,1.378,0.0,0.0,7.5,2.5,4.0,4.0,17.472,44.494,Epona
310766287,4.2,2.7,4.5,1.842,2.442,2.0,1.0,0.0,0.0,1.75,0.0,2.153,22.587,Cho
