account_id,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
188263974,4.2,0.0,3.6,1.089,1.784,0.0,0.0,0.0,1.0,0.5,0.0,5.355,17.528
196936346,5.7,3.6,6.0,3.198,2.856,2.0,0.0,2.0,0.0,4.75,0.0,6.382,36.486
207300381,1.8,0.3,8.7,0.24,1.382,1.0,0.0,11.5,1.5,1.0,0.0,0.0,27.422
241158366,6.6,-0.6,2.55,1.062,1.756,0.0,0.0,0.0,1.0,0.75,4.0,3.767,20.885
287978960,1.8,0.3,3.6,0.603,1.26,0.0,0.0,6.0,1.0,1.5,0.0,1.643,17.706
291258968,2.1,-1.5,6.0,0.729,1.408,3.0,0.0,9.0,0.5,1.75,0.0,14.504,37.491
293082908,6.6,0.9,2.55,1.824,2.318,2.0,0.0,0.0,1.0,1.5,4.0,1.103,23.795
310766287,5.1,3.3,5.85,1.902,2.508,3.0,0.0,0.0,0.5,2.25,0.0,0.654,25.064
311078326,3.0,2.7,5.25,1.722,2.014,1.0,1.0,0.0,2.0,1.25,0.0,1.508,21.444
315522915,6.0,2.7,5.1,2.649,2.91,9.0,1.0,0.0,1.5,1.5,0.0,2.87,35.229
317992803,4.8,-2.1,4.2,0.948,1.764,0.0,0.0,2.5,0.5,2.25,0.0,4.402,19.264
324942638,10.5,2.4,3.75,3.003,3.06,13.0,2.0,0.5,0.5,2.5,0.0,2.793,44.006
330535786,4.5,1.5,3.15,3.354,2.742,2.0,1.0,0.5,2.5,2.5,0.0,0.912,24.658
347405447,1.8,1.2,4.2,0.282,0.846,0.0,0.0,0.0,0.0,0.5,0.0,2.987,11.815
350169818,5.4,-2.1,4.35,0.477,1.462,2.0,0.0,6.0,1.0,2.25,0.0,3.848,24.687
374488452,3.9,2.4,1.65,2.235,2.404,4.0,1.0,0.5,4.0,2.0,0.0,0.0,24.089
376256780,7.8,4.2,3.6,1.986,2.598,3.0,0.0,2.0,0.0,8.0,4.0,0.147,37.331
379859118,0.9,-1.8,7.05,0.417,1.408,0.0,0.0,9.5,1.5,0.25,0.0,3.34,22.565
395439489,2.4,0.6,3.3,1.05,1.584,3.0,1.0,1.0,0.0,2.5,0.0,3.886,20.32
416118852,6.0,3.0,5.25,2.862,2.938,9.0,4.0,0.5,0.5,1.5,0.0,2.12,37.67
421257589,7.8,0.9,4.2,2.388,2.832,3.0,2.0,2.5,1.5,5.5,0.0,2.847,35.467
423698025,8.7,0.9,3.15,1.44,2.158,4.0,1.0,0.5,1.0,3.25,0.0,0.275,26.373
433060499,4.8,0.0,5.4,0.3,1.544,0.0,0.0,12.5,0.0,1.5,0.0,5.98,32.024
443167959,7.2,2.4,5.7,1.368,2.29,3.0,1.0,0.0,1.5,1.0,0.0,3.129,28.587
443805795,10.8,2.7,6.75,1.398,2.558,2.0,0.0,2.0,0.5,9.5,0.0,1.989,40.195
465095630,3.0,0.3,8.7,0.663,1.618,0.0,0.0,14.0,2.5,1.5,0.0,2.455,34.736
467852245,1.8,2.4,3.3,1.398,1.722,1.0,1.0,0.0,0.0,1.25,0.0,0.178,14.048
488559009,2.1,0.9,4.8,0.372,1.276,0.0,0.0,4.5,2.0,2.25,4.0,4.688,26.886
854684906,7.8,2.4,6.15,2.118,2.668,4.0,0.0,0.0,1.0,2.0,4.0,1.348,33.484
892939726,4.2,-0.6,3.15,0.669,1.152,2.0,0.0,1.0,0.0,1.0,0.0,0.0,12.571
1020037084,5.1,3.6,1.95,1.917,2.32,6.0,2.0,0.0,1.5,1.75,0.0,0.0,26.137
1127025371,3.6,0.0,6.9,0.792,1.764,1.0,0.0,12.0,2.5,0.5,0.0,0.14,29.196
1392360555,2.7,0.0,5.4,1.695,1.798,4.0,1.0,0.0,1.0,1.0,0.0,1.477,20.07
1536452978,3.9,1.5,3.6,1.428,1.914,1.0,0.0,1.5,0.0,0.75,0.0,0.78,16.372
