account_id,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total,name
50964,3.6,2.4,8.25,0.213,1.49,0.0,0.0,2.0,0.5,0.75,4.0,6.125,29.328,Lewis
5668067,5.1,1.5,3.9,2.772,2.352,5.0,1.0,0.0,1.5,2.5,4.0,1.745,31.369,
26793089,6.0,1.2,6.45,0.855,1.66,4.0,0.0,13.0,1.0,3.25,0.0,6.193,43.608,Hynips
60329701,2.1,4.8,4.8,0.249,1.236,1.0,1.0,8.5,0.5,1.0,4.0,2.138,31.323,OgreHakim
65159250,4.2,4.2,2.4,1.683,2.288,2.0,0.0,0.0,1.5,0.75,0.0,1.56,20.581,Leiya
71551920,7.8,3.0,4.35,1.59,2.394,3.0,1.0,2.5,2.0,6.75,0.0,0.24,34.624,Faith
84712191,3.6,2.7,5.55,0.558,1.65,2.0,0.0,7.5,2.5,3.5,0.0,1.975,31.533,REGURGITARD
86546993,2.1,1.5,5.85,2.661,2.304,1.0,0.0,0.0,1.5,1.5,0.0,4.678,23.093,un Bastien
86776312,1.8,1.2,4.65,0.507,1.19,0.0,0.0,15.0,1.5,1.25,0.0,4.19,31.287,Toneeh/Tony
89873399,2.4,2.4,5.7,0.351,1.482,0.0,0.0,3.0,3.0,2.25,0.0,3.265,23.848,hungrybrowny
93627869,3.0,1.2,3.15,1.641,1.956,0.0,0.0,0.5,1.0,1.25,4.0,0.0,17.697,Lanfe4r
94051629,4.5,3.3,3.0,0.297,1.31,2.0,1.0,1.5,0.5,1.75,4.0,4.478,27.635,
94550441,6.6,2.7,3.15,2.493,2.168,0.0,0.0,2.0,0.0,6.25,0.0,0.103,25.464,Eeshie
95706137,3.9,1.8,6.0,0.147,1.498,0.0,0.0,13.5,0.0,0.5,0.0,8.185,35.53,Ragicarpe
102879403,6.0,1.5,6.9,2.571,2.698,7.0,2.0,0.0,0.5,2.0,0.0,6.775,37.944,Wiolarz
105461157,2.1,0.6,3.75,0.399,1.214,0.0,0.0,5.5,0.5,1.0,4.0,8.24,27.303,Low Expectations
105900867,2.7,1.8,1.5,1.5,1.986,2.0,2.0,0.0,0.5,1.25,0.0,0.0,15.236,OwN
108777244,2.7,1.2,3.45,0.348,1.158,1.0,0.0,11.0,5.0,0.25,0.0,7.222,33.328,
110881046,8.1,4.5,4.05,1.41,2.516,3.0,0.0,1.0,0.5,8.25,0.0,8.704,42.03,jihapse
111886427,6.0,3.3,7.8,0.294,1.68,1.0,0.0,14.5,2.0,1.25,4.0,1.708,43.532,Nappa
113312766,6.6,3.3,3.6,1.536,2.404,0.0,0.0,1.5,0.5,4.25,0.0,2.405,26.095,play
116643277,4.2,2.1,2.1,0.699,1.254,3.0,0.0,0.0,0.5,0.75,0.0,1.867,16.47,FTG
126607959,2.4,3.6,3.75,2.166,2.212,2.0,0.0,0.0,2.0,1.0,0.0,3.068,22.196,Tilty
127038234,3.6,0.9,6.0,0.675,1.656,0.0,0.0,2.0,0.0,0.25,0.0,3.308,18.389,Magma
127524729,5.7,3.3,6.0,1.842,2.612,5.0,3.0,0.0,0.0,0.5,0.0,1.362,29.316,Aaz3
127714243,3.0,2.4,3.6,0.99,1.37,4.0,0.0,0.0,1.5,1.25,0.0,1.93,20.04,Tsenme
143642783,3.6,0.3,3.0,0.141,1.224,0.0,0.0,10.0,0.0,0.75,0.0,4.46,23.475,Jam Apple YNWA
146542636,7.8,2.7,6.45,1.809,2.932,8.0,2.0,0.0,1.5,2.5,0.0,0.255,35.946,Reddydas
149253098,5.7,4.2,4.65,1.614,2.402,3.0,0.0,2.0,2.5,4.25,4.0,7.06,41.376,Jeri
150522382,1.8,2.7,5.7,0.324,1.388,0.0,0.0,6.5,4.0,1.0,0.0,1.987,25.399,Luke
153031584,1.8,2.1,1.95,0.849,1.34,2.0,0.0,0.0,1.5,0.5,0.0,2.082,14.121,RedRabbit
160702825,2.7,1.5,3.0,0.648,1.442,0.0,0.0,3.0,3.5,0.5,0.0,2.407,18.697,Unseelie
166501580,1.8,0.0,2.85,1.491,1.9,2.0,0.0,0.0,1.0,1.5,0.0,1.5,14.041,
169606098,6.0,4.5,7.35,0.936,1.756,3.0,0.0,7.0,3.0,1.75,0.0,12.6,47.892,reload
178007846,9.9,4.5,4.05,1.95,2.992,4.0,0.0,1.0,0.0,4.0,0.0,3.727,36.119,Phantom
179070642,2.1,4.2,3.15,1.434,2.026,2.0,0.0,0.0,1.0,0.0,4.0,8.994,28.904,
179417772,4.8,0.0,5.7,0.747,1.7,2.0,0.0,7.5,2.0,1.5,4.0,12.215,42.162,Tefrick
183938343,8.4,3.9,3.0,1.113,2.408,2.0,2.0,2.0,0.0,4.75,0.0,2.717,32.288,backwardshello
186001678,3.6,0.6,4.5,1.125,1.702,1.0,0.0,2.0,1.0,1.25,0.0,3.74,20.517,Beno
188263974,5.1,2.1,5.85,1.395,2.108,1.0,0.0,0.0,0.5,0.75,0.0,8.488,27.291,Owl
196936346,3.3,4.2,6.15,3.018,2.66,7.0,0.0,2.0,0.5,4.25,0.0,4.933,38.011,YaBoiTheJebait
207300381,0.6,4.8,4.95,0.399,1.196,0.0,0.0,11.5,2.0,0.75,0.0,0.0,26.195,AA
241158366,7.2,3.9,5.4,0.888,2.174,3.0,1.0,0.0,0.0,0.25,0.0,4.882,28.694,Drregron
243368997,3.0,5.4,6.75,0.102,1.402,0.0,0.0,9.0,2.5,0.0,0.0,0.492,28.646,Kot
310766287,1.5,0.0,3.6,1.176,1.884,1.0,0.0,0.0,1.5,0.25,4.0,4.475,19.385,Cho
311078326,3.6,1.8,2.55,1.2,2.224,1.0,0.0,0.5,1.5,2.75,0.0,2.673,19.797,Exy-
315522915,5.1,3.3,1.95,1.866,2.54,0.0,1.0,0.0,1.5,1.25,4.0,0.733,23.239,Dasher
324942638,5.7,4.5,3.3,2.658,3.456,8.0,1.0,0.0,2.0,1.25,0.0,0.88,32.744,mouceen
347405447,3.9,3.3,7.5,0.924,1.918,2.0,0.0,0.0,1.5,1.25,0.0,4.938,27.23,HyPeR
