,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
311078326,1.2,0.8999999999999999,0.75,0.492,0.808,0.0,0.0,0.0,0.0,0.5,0.0,1.0833338,5.7333338
89873399,0.3,0.8999999999999999,1.5,0.114,0.578,0.0,0.0,2.5,0.0,0.25,0.0,0.57832395,6.720323949999999
324942638,1.7999999999999998,1.5,0.3,0.87,1.1480000000000001,1.0,0.0,0.0,0.0,0.5,0.0,0.48997925000000003,7.6079792500000005
183938343,0.6,1.5,1.2,0.6990000000000001,0.968,2.0,1.0,1.0,0.5,2.25,0.0,0.0,11.716999999999999
243368997,0.0,0.8999999999999999,0.3,0.126,0.446,1.0,0.0,4.0,0.5,0.75,0.0,0.37167235000000004,8.393672350000001
127524729,3.0,2.4,1.05,0.858,1.318,2.0,0.0,0.0,0.0,0.75,0.0,0.15499649000000001,11.53099649
149253098,2.6999999999999997,2.4,1.65,0.504,0.992,0.0,0.0,0.5,0.0,2.5,0.0,1.1499488,12.3959488
111886427,0.3,1.5,3.0,0.033,0.488,0.0,0.0,4.5,0.0,0.5,0.0,0.0,10.321
127714243,1.2,2.1,2.6999999999999997,0.462,0.9,0.0,0.0,0.0,1.0,0.25,0.0,1.5733766500000002,10.18537665
127038234,1.7999999999999998,2.4,2.1,0.231,0.708,0.0,0.0,2.5,0.5,0.25,0.0,0.8133459000000001,11.302345899999999
