,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
102879403,5.1,0.30000000000000027,2.55,1.578,1.432,6.0,3.0,0.0,0.0,1.0,0.0,7.521598000000001,28.481598
26793089,3.0,0.6000000000000001,3.5999999999999996,0.41100000000000003,0.87,0.0,1.0,6.5,1.5,1.5,0.0,5.300000750000001,24.281000749999997
86546993,1.5,1.5,3.75,1.0050000000000001,1.018,4.0,0.0,0.0,0.0,2.0,0.0,4.854962,19.627962
169606098,1.7999999999999998,3.0,3.75,0.291,0.704,0.0,0.0,5.0,3.5,1.25,0.0,20.24842,39.54342
196936346,1.5,2.1,4.05,1.254,1.154,0.0,0.0,1.0,0.0,2.0,0.0,1.6683573,14.7263573
71551920,1.5,0.8999999999999999,1.5,1.395,1.062,0.0,0.0,0.5,0.0,3.0,0.0,0.41664745,10.273647449999999
1020037084,0.8999999999999999,1.5,1.2,1.6560000000000001,1.1460000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.13679855,8.53879855
188263974,0.8999999999999999,0.0,1.95,1.0110000000000001,0.97,0.0,0.0,0.0,0.0,1.0,0.0,0.48335445000000005,6.31435445
84712191,2.4,0.8999999999999999,1.05,0.447,0.686,1.0,0.0,10.5,0.5,0.75,4.0,10.798232500000001,33.0312325
338052760,1.2,0.0,1.65,0.498,0.642,0.0,0.0,3.0,0.0,1.0,0.0,3.3700638,11.3600638
