,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
241158366,0.6,0.30000000000000027,2.25,0.552,0.73,1.0,0.0,0.0,0.0,0.25,0.0,2.41007,8.09207
78114459,0.6,0.30000000000000027,1.2,1.191,1.374,1.0,0.0,0.0,1.0,0.25,0.0,1.1866663000000002,8.101666300000002
1536452978,3.5999999999999996,0.8999999999999999,0.75,0.858,1.062,1.0,0.0,1.0,0.5,0.75,0.0,0.006669189000000001,10.426669189
183135545,0.3,0.0,2.4,0.12,0.502,0.0,0.0,4.5,2.0,0.0,4.0,4.05004,17.87204
143642783,1.2,0.30000000000000027,2.1,0.126,0.47800000000000004,0.0,0.0,4.0,5.0,0.5,0.0,1.383316,15.087316000000001
71551920,4.2,1.2000000000000002,3.0,0.786,1.198,0.0,0.0,1.5,0.0,3.25,0.0,0.3683081,15.5023081
1020037084,2.4,2.7,2.4,1.716,1.73,5.0,2.0,0.0,3.0,0.75,0.0,1.2500389,22.946038899999998
188263974,3.3,0.30000000000000027,2.4,0.525,0.978,0.0,0.0,0.0,0.0,1.75,0.0,2.01830385,11.27130385
84712191,0.8999999999999999,1.8,2.6999999999999997,0.41400000000000003,0.922,2.0,0.0,2.5,0.5,0.75,0.0,0.7950243000000001,13.2810243
60329701,2.1,2.4,1.95,0.126,0.78,0.0,0.0,5.0,1.0,1.25,0.0,3.16672515,17.772725150000003
