,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
65159250,1.5,0.6000000000000001,1.7999999999999998,1.497,1.242,0.0,0.0,0.0,1.5,0.75,0.0,0.54334985,9.43234985
113312766,3.5999999999999996,1.5,1.05,1.089,1.1340000000000001,1.0,0.0,2.0,0.5,3.5,0.0,2.5566738000000004,17.9296738
80749349,0.3,0.0,1.5,0.201,0.532,0.0,0.0,5.5,2.0,1.75,0.0,5.520315,17.303314999999998
207300381,0.3,0.0,0.8999999999999999,0.531,0.654,0.0,1.0,4.5,1.0,1.5,0.0,1.3616697500000001,11.74666975
135737819,2.1,1.2000000000000002,2.25,1.284,1.242,3.0,0.0,0.0,0.5,0.25,0.0,0.6500195500000001,12.47601955
311078326,1.7999999999999998,1.8,2.6999999999999997,1.143,1.21,2.0,0.0,0.0,0.0,0.75,0.0,3.3398838,14.742883799999998
324942638,4.5,1.8,1.05,1.602,1.454,5.0,2.0,0.0,1.5,1.0,4.0,0.17999146,24.08599146
89873399,1.5,0.6000000000000001,4.35,0.36,0.834,0.0,0.0,3.5,0.5,1.5,0.0,3.755083,16.899082999999997
183938343,3.9,2.4,3.4499999999999997,1.9080000000000001,1.684,1.0,0.0,1.0,0.0,3.0,0.0,11.432203000000001,29.774203
243368997,0.8999999999999999,0.6000000000000001,3.9,0.159,0.718,0.0,0.0,7.5,1.0,0.25,0.0,0.25,15.277000000000001
