,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
113312766,4.5,2.4,2.25,0.762,1.354,0.0,0.0,1.0,1.0,4.5,0.0,1.83170185,19.59770185
80749349,0.6,0.6000000000000001,4.6499999999999995,0.417,0.8260000000000001,0.0,0.0,2.0,0.5,0.75,0.0,0.0,10.343
65159250,3.5999999999999996,1.8,1.95,0.84,1.408,4.0,0.0,0.0,0.0,0.5,4.0,0.0,18.098
443167959,4.2,0.30000000000000027,2.6999999999999997,0.624,1.222,2.0,1.0,0.0,0.5,0.5,0.0,0.0,13.046
207300381,0.6,1.5,4.95,0.105,0.742,1.0,0.0,5.5,1.0,0.25,0.0,0.0,15.647000000000002
287978960,0.8999999999999999,0.0,1.5,0.432,0.734,0.0,0.0,0.0,0.0,0.0,0.0,1.4682678,5.0342678
116643277,1.2,0.0,2.4,0.084,0.61,0.0,0.0,4.0,1.0,0.0,0.0,0.0,9.294
395439489,0.3,0.0,1.65,0.459,0.718,0.0,0.0,0.5,0.0,1.0,0.0,2.5463604,7.1733604
293082908,2.4,0.0,1.5,0.897,1.116,0.0,0.0,0.0,0.5,1.0,0.0,1.1033795,8.5163795
125155223,3.0,1.5,1.2,0.21,0.642,1.0,0.0,3.0,1.0,1.25,0.0,2.0200182000000004,14.8220182
