,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
50964,1.2,0.0,3.4499999999999997,0.198,0.592,0.0,0.0,2.5,0.0,0.5,0.0,0.09166015500000001,8.531660154999999
178007846,3.9,1.8,1.2,0.777,1.002,4.0,0.0,0.5,0.5,4.5,0.0,0.0,18.179000000000002
347405447,2.1,0.8999999999999999,2.6999999999999997,0.594,0.8160000000000001,0.0,0.0,0.0,0.5,1.0,0.0,3.1900102500000003,11.80001025
95706137,1.5,0.0,3.0,0.147,0.614,1.0,0.0,7.0,0.0,0.5,0.0,1.20998925,14.970989249999999
146542636,2.6999999999999997,0.0,1.7999999999999998,1.659,1.496,3.0,0.0,0.0,1.0,0.75,0.0,0.0,12.405
102879403,6.3,1.5,3.15,1.239,1.548,4.0,1.0,0.0,0.0,0.25,0.0,2.5582865000000004,21.545286500000003
169606098,1.7999999999999998,0.0,4.05,0.18,0.8160000000000001,0.0,0.0,4.0,6.5,1.5,0.0,3.224961,22.070961
196936346,3.9,0.8999999999999999,2.55,1.032,1.208,1.0,0.0,1.0,0.5,2.0,0.0,0.0,14.09
26793089,1.5,0.6000000000000001,4.2,0.384,0.808,0.0,0.0,6.0,0.5,0.5,0.0,2.8950012000000003,17.3870012
86546993,0.8999999999999999,0.6000000000000001,4.35,0.897,1.068,1.0,0.0,0.0,0.0,0.0,4.0,3.1918055,16.0068055
