,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
178007846,3.9,1.2000000000000002,3.3,1.05,1.364,2.0,0.0,0.5,0.0,1.5,0.0,5.8533645000000005,20.6673645
146542636,6.3,1.2000000000000002,3.4499999999999997,1.839,1.85,6.0,0.0,0.0,0.5,1.5,0.0,0.0,22.639
347405447,1.5,0.6000000000000001,3.9,0.615,0.904,1.0,0.0,0.0,0.0,1.0,0.0,1.9783598000000002,11.4973598
95706137,2.4,0.0,3.9,0.093,0.806,1.0,0.0,10.0,1.5,2.5,0.0,2.40159285,24.600592849999998
50964,1.2,0.0,3.5999999999999996,0.306,0.768,0.0,0.0,0.5,0.0,0.0,4.0,3.1867256000000004,13.5607256
134600696,0.3,0.0,2.6999999999999997,0.228,0.6,0.0,0.0,7.0,2.0,1.0,0.0,2.6832634,16.5112634
126607959,5.1,0.6000000000000001,2.25,1.551,1.506,2.0,0.0,0.0,3.0,0.5,0.0,2.3966646000000003,18.9036646
153031584,1.5,0.0,2.4,0.759,0.88,2.0,0.0,0.0,0.5,0.25,0.0,2.31329575,10.60229575
105461157,3.0,0.0,3.75,0.384,0.784,0.0,1.0,3.5,2.0,0.75,0.0,0.8267172,15.9947172
443805795,3.9,0.8999999999999999,2.85,1.077,1.222,0.0,0.0,1.0,0.0,4.25,0.0,0.0,15.199
