,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
127524729,2.4,1.5,2.25,0.876,1.26,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.286000000000001
149253098,2.1,2.4,2.25,0.885,1.22,2.0,0.0,1.0,2.5,1.75,0.0,0.59998295,16.70498295
116643277,4.2,2.1,2.1,0.6990000000000001,1.254,3.0,0.0,0.0,0.5,0.75,0.0,1.8667190000000002,16.469719
111886427,3.0,2.1,3.4499999999999997,0.135,0.808,1.0,0.0,6.5,0.5,0.5,4.0,0.0,21.993
127038234,1.5,0.0,2.25,0.195,0.722,0.0,0.0,1.0,0.0,0.25,0.0,0.74000485,6.65700485
166501580,0.8999999999999999,0.0,1.2,0.63,0.896,0.0,0.0,0.0,0.5,1.0,0.0,1.34501315,6.471013149999999
423698025,1.7999999999999998,0.6000000000000001,1.2,0.258,0.65,0.0,0.0,1.5,1.0,1.25,0.0,0.8633423000000001,9.121342299999998
488559009,2.1,0.30000000000000027,0.3,0.726,0.968,0.0,0.0,1.5,0.0,1.5,0.0,4.7134385000000005,12.1074385
1127025371,1.7999999999999998,1.2000000000000002,0.75,1.095,1.254,2.0,1.0,0.0,0.5,1.25,0.0,0.20841045000000002,11.05741045
374488452,0.3,0.0,1.5,0.177,0.602,0.0,0.0,3.0,0.0,1.25,0.0,0.36498050000000004,7.1939805
