,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
311078326,0.3,1.5,0.6,0.5760000000000001,0.746,0.0,0.0,0.0,0.0,0.5,0.0,1.1449526,5.366952599999999
89873399,0.6,0.6000000000000001,0.3,0.279,0.628,0.0,0.0,1.5,0.0,0.0,0.0,0.9533325,4.8603325
324942638,0.6,0.8999999999999999,0.75,0.807,1.022,0.0,0.0,0.0,1.5,0.25,0.0,0.4650122,6.2940122
183938343,0.8999999999999999,1.2000000000000002,0.44999999999999996,0.678,0.924,0.0,0.0,1.0,0.5,1.0,0.0,0.325,6.977
243368997,1.5,0.6000000000000001,0.75,0.12,0.534,0.0,0.0,4.0,0.5,0.25,0.0,3.811703,12.065703000000001
423698025,0.6,1.5,2.55,0.132,0.6900000000000001,1.0,0.0,2.0,1.0,0.25,0.0,0.30166015,10.023660150000001
892939726,3.5999999999999996,2.4,1.65,0.705,1.32,3.0,0.0,1.0,0.5,0.75,0.0,0.2899951,15.214995100000001
488559009,2.1,2.4,1.65,0.78,1.218,0.0,0.0,1.0,0.5,4.25,0.0,0.5966712000000001,14.494671199999999
1127025371,2.6999999999999997,3.0,2.4,1.059,1.6540000000000001,5.0,2.0,0.0,1.5,0.5,0.0,1.9050080000000003,21.718007999999998
374488452,1.2,1.8,1.3499999999999999,0.054,0.638,0.0,0.0,2.5,0.0,0.5,4.0,0.0,12.042
