,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
178007846,2.1,1.8,0.8999999999999999,0.618,1.21,2.0,0.0,0.5,0.0,1.0,0.0,2.8150074000000003,12.9430074
95706137,3.3,2.4,3.75,0.123,0.934,0.0,0.0,5.5,2.0,1.5,0.0,2.8216297000000004,22.328629699999997
347405447,1.7999999999999998,2.4,3.3,0.33,0.924,1.0,0.0,0.0,0.0,0.5,0.0,2.18337765,12.43737765
146542636,4.2,1.5,2.25,1.089,1.692,6.0,0.0,0.0,0.5,0.25,0.0,0.7449927000000001,18.225992700000003
50964,0.8999999999999999,0.8999999999999999,2.55,0.036000000000000004,0.614,0.0,0.0,1.0,1.0,0.75,0.0,2.0648527000000003,9.8148527
134600696,0.0,0.0,1.3499999999999999,0.048,0.384,0.0,0.0,2.0,0.5,0.25,0.0,2.4600745,6.9920745
126607959,0.3,2.4,1.05,0.6930000000000001,0.906,1.0,0.0,0.0,0.0,0.25,0.0,0.0,6.598999999999999
443805795,2.4,1.2000000000000002,1.3499999999999999,0.28500000000000003,0.794,1.0,0.0,1.0,0.5,2.5,0.0,0.0,11.029
153031584,1.7999999999999998,0.30000000000000027,0.6,0.264,0.618,0.0,0.0,0.0,0.5,0.25,0.0,1.0966367000000001,5.428636700000001
105461157,1.2,0.30000000000000027,1.65,0.18,0.628,0.0,0.0,2.0,1.0,0.25,4.0,5.38831175,16.596311749999998
