,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
102879403,2.4,0.0,2.1,0.846,0.962,0.0,0.0,0.0,1.0,0.5,0.0,0.0,7.808
26793089,2.1,0.0,3.3,0.198,0.654,1.0,0.0,6.5,3.0,0.5,4.0,0.0,21.252000000000002
86546993,2.4,0.6000000000000001,2.1,0.744,0.928,0.0,0.0,0.0,0.0,0.0,0.0,3.0366506500000003,9.80865065
169606098,1.2,0.0,2.1,0.162,0.608,0.0,0.0,3.5,3.5,1.5,0.0,5.540052,18.110052
78114459,2.4,0.8999999999999999,2.4,0.855,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.105015625,9.410015625
50964,0.8999999999999999,0.0,2.1,0.105,0.616,0.0,0.0,4.5,1.0,1.25,0.0,4.24167175,14.71267175
178007846,5.3999999999999995,1.8,1.95,1.272,1.578,5.0,0.0,0.5,0.0,5.25,0.0,3.17839815,25.92839815
146542636,5.1,2.1,2.1,1.5150000000000001,1.728,3.0,1.0,0.0,2.0,0.0,0.0,0.0,18.543
347405447,1.2,0.0,2.85,0.468,0.846,0.0,0.0,0.0,0.5,0.25,0.0,4.4516697,10.5656697
95706137,1.2,0.6000000000000001,3.3,0.153,0.652,0.0,0.0,5.0,2.5,0.75,0.0,2.06168215,16.21668215
