,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
310766287,0.6,0.6000000000000001,0.8999999999999999,0.519,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.129978025,3.5309780250000005
421257589,0.6,1.5,0.3,1.0050000000000001,1.076,2.0,0.0,1.5,0.5,3.0,0.0,0.6849914,12.1659914
315522915,2.4,1.2000000000000002,0.6,0.9390000000000001,1.208,0.0,0.0,0.0,0.5,0.5,4.0,0.47500125000000004,11.822001250000001
433060499,0.3,0.8999999999999999,1.65,0.081,0.486,0.0,0.0,4.0,1.0,0.75,0.0,1.48497925,10.65197925
160702825,0.8999999999999999,1.2000000000000002,1.2,0.198,0.562,0.0,0.0,2.0,2.0,0.25,0.0,1.6499755,9.959975499999999
324942638,1.5,2.7,1.65,1.3980000000000001,1.67,2.0,1.0,0.0,1.0,1.0,0.0,0.5916931,14.5096931
311078326,1.5,1.2000000000000002,1.5,0.47100000000000003,1.108,1.0,0.0,0.0,1.5,0.25,0.0,0.695011,9.224011
183938343,3.3,2.4,1.65,0.639,1.232,1.0,0.0,0.5,0.5,2.25,0.0,0.0,13.471
89873399,1.5,1.2000000000000002,2.25,0.20400000000000001,0.856,1.0,0.0,2.0,0.5,0.5,0.0,0.84999095,10.85999095
243368997,1.5,2.4,2.25,0.042,0.608,0.0,0.0,4.0,1.5,0.0,0.0,0.491673,12.791673000000001
