,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
127524729,3.5999999999999996,0.6000000000000001,3.75,1.11,1.268,1.0,0.0,0.0,0.0,1.25,0.0,0.37999805000000003,12.957998049999999
149253098,2.6999999999999997,1.8,3.9,0.732,1.048,2.0,2.0,1.0,0.0,2.25,0.0,0.0,17.43
127038234,3.0,1.2000000000000002,4.05,0.396,0.8320000000000001,0.0,0.0,2.0,3.0,0.25,0.0,2.5258442,17.253844200000003
127714243,4.8,-0.5999999999999996,2.25,0.915,1.184,1.0,0.0,0.0,1.5,1.25,0.0,2.7266651,15.0256651
111886427,2.1,0.6000000000000001,5.1,0.096,0.652,1.0,0.0,9.0,0.0,0.75,0.0,0.125,19.423000000000002
311078326,1.2,0.6000000000000001,2.1,0.6,0.8180000000000001,0.0,0.0,0.0,1.5,1.25,0.0,0.0,8.068
324942638,4.2,0.0,1.7999999999999998,1.449,1.3760000000000001,5.0,1.0,0.0,0.0,0.75,0.0,1.205055,16.780055
89873399,1.2,-1.7999999999999998,2.55,0.07200000000000001,0.512,0.0,0.0,4.0,0.0,0.5,0.0,3.0032959000000004,10.0372959
79190405,1.5,-0.5999999999999996,4.6499999999999995,0.423,0.79,0.0,0.0,6.5,1.5,1.75,0.0,3.1183292500000004,19.63132925
121600140,2.4,0.6000000000000001,3.0,0.906,1.078,0.0,0.0,1.0,1.0,3.0,4.0,-0.18817767000000002,16.79582233
