,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
127524729,3.0,0.8999999999999999,1.05,1.743,1.414,1.0,0.0,0.0,0.5,1.0,0.0,0.75331055,11.360310550000001
149253098,2.1,-0.2999999999999998,1.65,0.846,0.91,3.0,0.0,0.0,0.0,0.5,0.0,0.22332763500000002,8.929327635
127038234,1.2,-0.2999999999999998,1.7999999999999998,0.42,0.646,0.0,0.0,1.5,4.0,0.25,0.0,5.424994000000001,14.940994
127714243,1.2,1.2000000000000002,1.5,0.864,0.876,0.0,0.0,1.5,1.5,4.25,0.0,1.239959,14.129959000000001
111886427,0.8999999999999999,0.30000000000000027,2.4,0.213,0.594,1.0,1.0,7.0,0.0,0.0,0.0,2.94830935,16.35530935
311078326,1.7999999999999998,2.1,3.15,1.122,1.196,1.0,1.0,0.0,0.5,0.0,0.0,1.5083651500000002,13.37636515
324942638,6.3,2.4,1.95,1.554,1.684,8.0,1.0,0.5,0.5,1.75,0.0,1.5883657500000001,27.22636575
89873399,1.5,0.30000000000000027,3.15,0.234,0.726,1.0,0.0,3.0,1.5,1.25,4.0,2.25328635,18.91328635
79190405,0.6,-0.2999999999999998,4.2,0.216,0.74,0.0,0.0,7.0,0.5,1.25,0.0,2.9531590000000003,17.159159
121600140,2.4,2.1,3.75,1.002,1.224,0.0,0.0,1.0,0.5,2.0,0.0,3.7549985,17.730998500000002
