,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
121439102,1.5,0.0,3.0,0.75,0.866,0.0,0.0,0.0,0.0,0.25,4.0,1.7899950000000002,12.155995
151702626,4.8,1.8,1.95,1.224,1.262,1.0,0.0,0.5,3.0,1.75,0.0,2.6909330000000002,19.976933000000002
132066586,0.8999999999999999,0.0,2.85,0.342,0.744,1.0,0.0,8.5,2.0,1.25,0.0,2.92841475,20.51441475
330535786,3.3,0.6000000000000001,1.95,1.971,1.47,1.0,1.0,0.5,1.0,1.0,0.0,0.0,13.791
291258968,0.6,0.0,3.9,0.324,0.6960000000000001,1.0,0.0,4.5,0.5,1.0,0.0,11.686953500000001,24.2069535
150522382,0.8999999999999999,0.6000000000000001,5.55,0.17400000000000002,0.684,1.0,0.0,5.5,2.5,1.0,0.0,0.070022465,17.978022465000002
465095630,1.7999999999999998,0.30000000000000027,5.85,0.624,1.006,0.0,0.0,8.0,0.5,1.0,0.0,0.13999999999999999,19.22
854684906,6.0,0.8999999999999999,2.85,1.524,1.486,3.0,0.0,0.0,0.5,1.25,0.0,0.71999815,18.22999815
416118852,3.5999999999999996,0.6000000000000001,3.15,1.68,1.428,4.0,2.0,0.5,0.5,1.25,0.0,2.119975,20.827975
110881046,3.0,0.8999999999999999,5.1,1.617,1.3940000000000001,2.0,1.0,0.5,0.0,5.5,0.0,12.391767000000002,33.402767000000004
