,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
126607959,1.7999999999999998,2.4,2.55,0.99,1.112,2.0,0.0,0.0,1.0,1.0,0.0,0.6782253500000001,13.53022535
443805795,2.6999999999999997,2.1,1.65,1.002,1.1400000000000001,1.0,0.0,0.5,0.0,4.75,0.0,5.594899000000001,20.436899
153031584,0.6,1.2000000000000002,1.2,0.39,0.676,2.0,0.0,0.0,0.5,0.25,0.0,0.65667725,7.47267725
108777244,1.5,1.2000000000000002,2.25,0.165,0.582,1.0,0.0,4.5,1.5,0.25,0.0,4.6304575,17.5774575
105461157,1.5,0.0,2.55,0.17400000000000002,0.598,0.0,0.0,4.0,0.5,0.75,4.0,0.0,14.072
71551920,2.6999999999999997,0.30000000000000027,1.95,0.681,1.05,0.0,1.0,1.0,1.5,2.0,0.0,0.23999220000000002,12.4209922
1020037084,2.4,2.7,1.05,1.6380000000000001,1.538,4.0,0.0,0.0,1.5,0.25,0.0,1.2400611000000001,16.3160611
188263974,2.1,0.30000000000000027,2.6999999999999997,0.66,1.002,1.0,0.0,0.0,0.5,0.5,0.0,1.87666625,10.63866625
84712191,0.8999999999999999,1.2000000000000002,3.0,0.33,0.784,1.0,0.0,3.5,0.5,1.5,0.0,0.0,12.713999999999999
60329701,1.2,2.4,1.2,0.063,0.53,0.0,0.0,4.5,0.5,0.0,0.0,2.138345,12.531345000000002
