,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
61634693,4.5,1.5,2.1,1.077,1.226,1.0,0.0,0.0,1.0,1.25,4.0,5.078360750000001,22.73136075
379859118,0.0,0.30000000000000027,2.25,0.228,0.526,1.0,1.0,5.5,0.0,0.25,0.0,3.3300045,14.3840045
174339440,1.2,1.2000000000000002,1.3499999999999999,1.548,1.242,4.0,0.0,0.0,1.5,1.25,0.0,0.0,13.29
317992803,1.7999999999999998,0.0,2.4,0.858,0.968,0.0,0.0,1.0,0.0,2.0,0.0,6.2948982,15.3208982
350169818,3.5999999999999996,0.0,2.4,0.192,0.744,0.0,0.0,5.5,0.0,0.5,0.0,4.814985,17.750985
93627869,1.5,0.6000000000000001,2.1,1.317,1.166,0.0,1.0,1.0,0.0,1.25,0.0,0.0,9.933
376256780,5.1,1.8,3.0,1.719,1.964,7.0,0.0,1.0,0.5,5.5,0.0,1.5383274,29.1213274
186001678,0.8999999999999999,0.0,4.95,0.28500000000000003,0.8,0.0,0.0,7.5,1.5,0.0,0.0,7.2983400000000005,23.23334
467852245,1.7999999999999998,0.6000000000000001,2.4,1.041,1.108,0.0,0.0,0.0,0.0,1.0,0.0,1.0166454999999999,8.965645499999999
446223551,3.9,0.8999999999999999,2.55,0.114,0.724,0.0,0.0,2.0,2.0,0.75,0.0,6.536709500000001,19.4747095
