,kills,deaths,assists,last_hits,gold_per_min,towers_killed,roshans_killed,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns,total
127714243,0.8999999999999999,1.5,1.95,0.714,1.052,1.0,0.0,0.0,0.5,0.75,0.0,0.5899885500000001,8.955988549999999
149253098,1.5,2.4,1.5,0.921,1.184,1.0,0.0,1.0,0.0,1.75,0.0,0.25999145,11.51499145
127524729,2.6999999999999997,2.7,1.95,1.053,1.462,4.0,1.0,0.0,1.0,1.0,0.0,0.19834523,17.063345230000003
111886427,2.1,0.30000000000000027,1.2,0.111,0.78,0.0,0.0,5.5,1.0,1.0,0.0,2.28163415,14.27263415
127038234,2.4,1.5,1.95,0.255,0.884,1.0,0.0,1.5,0.5,0.25,0.0,1.9450520000000002,12.184052000000001
395439489,2.4,2.1,0.8999999999999999,0.705,1.032,0.0,0.0,1.0,0.5,2.5,0.0,6.459852,17.596852
287978960,0.3,1.5,1.65,0.528,0.778,0.0,0.0,0.0,1.0,0.0,4.0,1.7783081,11.5343081
116643277,0.3,0.30000000000000027,2.4,0.084,0.484,0.0,0.0,5.0,1.5,1.25,0.0,0.0,11.318
293082908,2.4,0.8999999999999999,0.6,1.035,1.214,3.0,0.0,0.0,1.0,1.25,0.0,0.0,11.399
125155223,1.2,0.6000000000000001,0.8999999999999999,0.528,0.794,0.0,0.0,2.5,2.0,0.0,0.0,1.6499865,10.171986500000001
