,name,timestamp,pick_1,pts_1,pick_2,pts_2,pick_3,pts_3,pick_4,pts_4,pick_5,pts_5,total
0,Bert,19/08/2025 18.46.54,reload,43.621,Phantom,44.107,pandapanther,0.0,jihapse,0.0,Rimuru,0.0,87.728
1,canin,27/08/2025 18.47.40,Phantom,44.107,Reddydas,45.523,Nappa,40.687,Jeri,33.912,Ragicarpe,38.652,202.881
2,Catnip,31/08/2025 10.02.25,mouceen,52.901,Phantom,44.107,hungrybrowny,37.083,Reddydas,45.523,Exy-,23.958,203.572
3,Click,03/08/2025 18.32.25,reload,43.621,hungrybrowny,37.083,,0.0,jihapse,0.0,,0.0,80.704
4,Cvaekt,26/07/2025 17.35.08,Lewis,27.846,hungrybrowny,37.083,,0.0,,0.0,Faith,0.0,64.929
5,Dasher,02/08/2025 09.38.28,Lewis,27.846,Luke,0.0,Aaz3,27.812,,0.0,Rimuru,0.0,55.658
6,Drregron,27/07/2025 18.26.59,reload,43.621,Phantom,44.107,,0.0,,0.0,Hynips,38.833,126.561
7,Epona,28/08/2025 15.32.07,backwardshello,34.785,Phantom,44.107,Reddydas,45.523,Nappa,40.687,Ragicarpe,38.652,203.754
8,Ernie,31/08/2025 00.09.10,backwardshello,34.785,hungrybrowny,37.083,Reddydas,45.523,Nappa,40.687,Hynips,38.833,196.911
9,hammurabi,09/08/2025 23.49.17,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
10,Jeri,31/08/2025 13.29.38,Magma,32.495,Phantom,44.107,YaBoiTheJebait,26.549,Nappa,40.687,reload,43.621,187.459
11,Moggles,26/07/2025 17.02.51,,0.0,hungrybrowny,37.083,,0.0,,0.0,,0.0,37.083
12,My2Karma,14/08/2025 15.37.43,Lewis,27.846,Reddydas,45.523,backwardshello,34.785,Aty,0.0,,0.0,108.154
13,Owl,03/08/2025 18.08.58,Lewis,27.846,hungrybrowny,37.083,Aaz3,27.812,Jeri,33.912,,0.0,126.653
14,Sparto,09/08/2025 23.16.25,reload,43.621,,0.0,,0.0,,0.0,Rimuru,0.0,43.621
15,Wiolarz,31/07/2025 20.22.56,,0.0,,0.0,,0.0,jihapse,0.0,,0.0,0.0
