,name,timestamp,pick_1,pts_1,pick_2,pts_2,pick_3,pts_3,pick_4,pts_4,pick_5,pts_5,total
0,Bert,02/08/2025 16.40.56,Toneeh/Tony,30.319,Catnip,36.47,prime skiter,23.083,AA,0.0,Muko,38.646,128.518
1,canin,10/08/2025 18.14.14,reload,25.181,Phantom,51.691,Disturbed Jawker,22.791,DJDuese,17.807,Rimuru,36.813,154.283
2,Catnip,02/08/2025 16.32.01,Lewis,26.257,Reddydas,35.258,play,44.768,Leiya,37.6,Muko,38.646,182.529
3,Click,03/08/2025 18.32.25,reload,25.181,hungrybrowny,19.915,ri,36.668,jihapse,27.678,canin,0.0,109.442
4,Cvaekt,26/07/2025 17.35.08,Lewis,26.257,hungrybrowny,19.915,ri,36.668,Unseelie,28.679,Faith,41.879,153.398
5,Dasher,02/08/2025 09.38.28,Lewis,26.257,Luke,32.075,Aaz3,32.241,pk,22.49,Rimuru,36.813,149.876
6,Drregron,27/07/2025 18.26.59,reload,25.181,Phantom,51.691,ri,36.668,calli,25.358,Hynips,0.0,138.898
7,Epona,31/07/2025 20.50.06,reload,25.181,Reddydas,35.258,mouceen,22.286,jihapse,27.678,Tilty,35.097,145.5
8,Ernie,10/08/2025 10.39.37,talmadage,17.977,hungrybrowny,19.915,play,44.768,jihapse,27.678,Drregron,21.148,131.486
9,hammurabi,09/08/2025 23.49.17,Potentiallyyouruncle,14.738,FTG,27.91,prime skiter,23.083,Dasher,19.769,noah,25.332,110.832
10,Jeri,10/08/2025 12.45.18,reload,25.181,Phantom,51.691,Disturbed Jawker,22.791,Aty,35.797,Rimuru,36.813,172.273
11,Karma/My2Karma,26/07/2025 17.36.40,Lewis,26.257,YaBoiTheJebait,29.223,Disturbed Jawker,22.791,AA,0.0,HyPeR,22.436,100.707
12,Moggles,26/07/2025 17.02.51,Lanfe4r,29.804,hungrybrowny,19.915,qjY,27.871,Cvaekt,27.639,canin,0.0,105.229
13,Owl,03/08/2025 18.08.58,Lewis,26.257,hungrybrowny,19.915,Aaz3,32.241,Jeri,39.755,Epona,0.0,118.168
14,Sparto,09/08/2025 23.16.25,reload,25.181,Lightning,49.457,ri,36.668,Unseelie,28.679,Rimuru,36.813,176.798
15,Wiolarz,31/07/2025 20.22.56,Toneeh/Tony,30.319,Catnip,36.47,ri,36.668,jihapse,27.678,canin,0.0,131.135
