,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name,account_id,win,isRadiant,duration,obs_placed,sen_placed,camps_stacked,rune_pickups,firstblood_claimed,teamfight_participation,towers_killed,roshans_killed,stuns,pings,hero_id,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,net_worth,hero_damage,tower_damage,hero_healing,kda,neutral_kills,courier_kills,observer_kills,ancient_kills,buyback_count,life_state_dead,max_hero_hit,max_mins_no_lh,avg_obs_dur,repeated_obs,bought_rapier,bought_consumables,used_blood_grenade,used_enchanted_mango,used_smoke_of_deceit,used_blink,used_armlet,used_revenants_brooch,used_pirate_hat,trees_quelled,runes_bounty,runes_wisdom,runes_6min,kill_streak,blood_inflicted,lotuses_stolen,uses_high_five,uses_portal,cosmetics_count,cosmetics_immortals
13,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,252657179,1.0,True,2772.0,,,,,,,,,,,14.0,9.0,7.0,24.0,70.0,0.0,405.0,690.0,14932.0,17369.0,760.0,1564.0,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,27997450,1.0,True,2772.0,,,,,,,,,,,9.0,16.0,3.0,26.0,406.0,16.0,765.0,1073.0,33901.0,41907.0,10636.0,0.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,112374134,0.0,False,2772.0,,,,,,,,,,,126.0,7.0,6.0,14.0,275.0,7.0,440.0,536.0,16769.0,17106.0,2257.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,121439102,0.0,False,2772.0,,,,,,,,,,,86.0,5.0,13.0,15.0,88.0,4.0,304.0,356.0,10175.0,20480.0,320.0,0.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,73573464,0.0,False,2772.0,,,,,,,,,,,64.0,4.0,14.0,10.0,50.0,6.0,233.0,335.0,8657.0,13937.0,1554.0,399.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,48903560,0.0,False,2772.0,,,,,,,,,,,16.0,2.0,10.0,10.0,274.0,2.0,415.0,557.0,15256.0,12586.0,103.0,0.0,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7990812275,1729101945,9499062,9505382,"160652614, 235385167, 328654348, 252657179, 27997450",erie,"112374134, 121439102, 73573464, 48903560, 146542636",hfbvm,erie vs hfbvm,146542636,0.0,False,2772.0,,,,,,,,,,,94.0,8.0,6.0,13.0,615.0,29.0,763.0,931.0,29527.0,44711.0,2444.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7985252578,1728765350,9499056,9505382,"349518239, 89873399, 177572049, 56404086, 345032134",Kakashi,"73573464, 121439102, 103714540, 146542636, 112374134",hfbvm,Kakashi vs hfbvm,349518239,0.0,True,2561.0,3.0,1.0,0.0,9.0,0.0,0.48387095,1.0,0.0,10.8,12.0,128.0,7.0,10.0,9.0,224.0,19.0,462.0,585.0,15385.0,26742.0,1314.0,0.0,1.45,33.0,0.0,2.0,15.0,1.0,531.0,373.0,3.0,212.33333333333334,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0
21,7985252578,1728765350,9499056,9505382,"349518239, 89873399, 177572049, 56404086, 345032134",Kakashi,"73573464, 121439102, 103714540, 146542636, 112374134",hfbvm,Kakashi vs hfbvm,89873399,0.0,True,2561.0,0.0,1.0,0.0,4.0,0.0,0.67741936,2.0,1.0,0.0,2.0,77.0,12.0,5.0,9.0,387.0,12.0,680.0,922.0,23896.0,36610.0,2545.0,0.0,3.5,126.0,0.0,1.0,15.0,1.0,310.0,1505.0,2.0,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,9.0,1.0
22,7985252578,1728765350,9499056,9505382,"349518239, 89873399, 177572049, 56404086, 345032134",Kakashi,"73573464, 121439102, 103714540, 146542636, 112374134",hfbvm,Kakashi vs hfbvm,177572049,0.0,True,2561.0,5.0,10.0,1.0,3.0,0.0,0.67741936,1.0,0.0,42.001236,102.0,84.0,2.0,15.0,19.0,113.0,11.0,435.0,484.0,14189.0,18348.0,66.0,1615.0,1.31,53.0,0.0,1.0,1.0,1.0,595.0,1298.0,5.0,295.5,1.0,0.0,4.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,375.0,3.0,0.0,0.0,4.0,0.0
