,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,dire_team_accs,dire_team_name,radiant_team_name,series_name,account_id,win,isRadiant,duration,obs_placed,sen_placed,camps_stacked,rune_pickups,firstblood_claimed,teamfight_participation,towers_killed,roshans_killed,stuns,pings,hero_id,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,net_worth,hero_damage,tower_damage,hero_healing,kda,neutral_kills,courier_kills,observer_kills,ancient_kills,buyback_count,life_state_dead,max_hero_hit,max_mins_no_lh,avg_obs_dur,repeated_obs,bought_rapier,bought_consumables,bought_tranquil_boots,bought_travel_boots,bought_travel_boots_2,bought_phase_boots,bought_boots,bought_arcane_boots,bought_power_treads,bought_guardian_greaves,bought_boots_of_bearing,bought_force_boots,bought_wind_lace,bought_tpscroll,bought_slippers,bought_boots_of_elves,used_blood_grenade,used_enchanted_mango,used_smoke_of_deceit,used_blink,used_armlet,used_revenants_brooch,used_pirate_hat,used_travel_boots,used_travel,used_travel_boots_2,used_tpscroll,trees_quelled,runes_bounty,runes_wisdom,runes_6min,kill_streak,blood_inflicted,lotuses_stolen,uses_high_five,uses_portal,cosmetics_count,cosmetics_immortals
374,8177122387,1739732899,9670960,9670941,"133498685, 167618363, 126607959, 71904413, 139197978","173091071, 859812912, 108677147, 317992803, 1077021946",YOZh666,Ordinary Banana,Ordinary Banana vs YOZh666,139197978,0.0,True,2097.0,10.0,16.0,1.0,6.0,0.0,0.5,0.0,0.0,18.332933,10.0,88.0,1.0,17.0,8.0,40.0,0.0,240.0,323.0,6725.0,5983.0,0.0,0.0,0.5,11.0,2.0,3.0,0.0,0.0,452.0,440.0,6.0,310.1111111111111,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,85.0,0.0,0.0,0.0,5.0,0.0
375,8177122387,1739732899,9670960,9670941,"133498685, 167618363, 126607959, 71904413, 139197978","173091071, 859812912, 108677147, 317992803, 1077021946",YOZh666,Ordinary Banana,Ordinary Banana vs YOZh666,173091071,1.0,False,2097.0,0.0,0.0,4.0,2.0,0.0,0.7,2.0,0.0,24.433062,16.0,135.0,15.0,3.0,20.0,215.0,14.0,604.0,626.0,20514.0,28361.0,6762.0,4998.0,8.75,57.0,0.0,1.0,3.0,0.0,126.0,555.0,2.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,4.0,0.0
376,8177122387,1739732899,9670960,9670941,"133498685, 167618363, 126607959, 71904413, 139197978","173091071, 859812912, 108677147, 317992803, 1077021946",YOZh666,Ordinary Banana,Ordinary Banana vs YOZh666,859812912,1.0,False,2097.0,7.0,16.0,1.0,3.0,0.0,0.66,0.0,0.0,45.23486,12.0,20.0,10.0,4.0,23.0,35.0,8.0,384.0,514.0,12673.0,17595.0,2284.0,125.0,6.6,6.0,0.0,1.0,0.0,0.0,176.0,312.0,5.0,222.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,174.0,2.0,0.0,1.0,7.0,1.0
377,8177122387,1739732899,9670960,9670941,"133498685, 167618363, 126607959, 71904413, 139197978","173091071, 859812912, 108677147, 317992803, 1077021946",YOZh666,Ordinary Banana,Ordinary Banana vs YOZh666,108677147,1.0,False,2097.0,6.0,11.0,2.0,3.0,0.0,0.52,1.0,0.0,49.966812,53.0,51.0,4.0,4.0,22.0,22.0,1.0,356.0,476.0,10223.0,13785.0,156.0,49.0,5.2,4.0,1.0,1.0,0.0,0.0,122.0,250.0,11.0,360.2,2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,3.0,36.0,3.0,1.0,4.0,6.0,0.0
378,8177122387,1739732899,9670960,9670941,"133498685, 167618363, 126607959, 71904413, 139197978","173091071, 859812912, 108677147, 317992803, 1077021946",YOZh666,Ordinary Banana,Ordinary Banana vs YOZh666,317992803,1.0,False,2097.0,2.0,1.0,0.0,12.0,1.0,0.58,3.0,0.0,28.833124,11.0,107.0,12.0,3.0,17.0,175.0,9.0,570.0,739.0,19476.0,24770.0,5481.0,1460.0,7.25,21.0,0.0,0.0,0.0,0.0,128.0,288.0,2.0,360.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0
379,8177122387,1739732899,9670960,9670941,"133498685, 167618363, 126607959, 71904413, 139197978","173091071, 859812912, 108677147, 317992803, 1077021946",YOZh666,Ordinary Banana,Ordinary Banana vs YOZh666,1077021946,1.0,False,2097.0,0.0,0.0,2.0,3.0,0.0,0.44,4.0,1.0,0.0,10.0,6.0,9.0,4.0,13.0,280.0,10.0,681.0,752.0,23264.0,23803.0,16381.0,0.0,4.4,74.0,0.0,0.0,24.0,0.0,136.0,564.0,2.0,,,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,5.0,1.0
380,8177122323,1739732927,9670999,9671029,"78114459, 238228, 903426658, 101698448, 50964","351461838, 16570127, 433060499, 67300161, 94016181",Catnip,canin,Catnip vs canin,78114459,1.0,True,2345.0,0.0,0.0,2.0,4.0,0.0,0.7758621,4.0,0.0,84.201035,1.0,129.0,13.0,0.0,32.0,297.0,14.0,683.0,975.0,25614.0,38976.0,6026.0,0.0,45.0,54.0,0.0,2.0,4.0,0.0,0.0,710.0,2.0,,,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,3.0,2.0,1.0
381,8177122323,1739732927,9670999,9671029,"78114459, 238228, 903426658, 101698448, 50964","351461838, 16570127, 433060499, 67300161, 94016181",Catnip,canin,Catnip vs canin,238228,1.0,True,2345.0,11.0,14.0,5.0,1.0,0.0,0.6551724,0.0,0.0,0.0,6.0,85.0,3.0,7.0,35.0,75.0,0.0,360.0,648.0,10868.0,14026.0,1212.0,14460.0,4.75,26.0,0.0,0.0,1.0,1.0,222.0,385.0,4.0,283.2,4.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,156.0,9.0,1.0,0.0,0.0,0.0
382,8177122323,1739732927,9670999,9671029,"78114459, 238228, 903426658, 101698448, 50964","351461838, 16570127, 433060499, 67300161, 94016181",Catnip,canin,Catnip vs canin,903426658,1.0,True,2345.0,0.0,0.0,0.0,6.0,0.0,0.62068963,1.0,0.0,3.399609,10.0,1.0,15.0,2.0,21.0,318.0,25.0,712.0,1045.0,27531.0,43114.0,8825.0,0.0,12.0,83.0,0.0,0.0,21.0,0.0,94.0,1134.0,3.0,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,5.0,0.0,0.0,10.0,0.0,2.0,3.0,0.0,9.0,0.0
383,8177122323,1739732927,9670999,9671029,"78114459, 238228, 903426658, 101698448, 50964","351461838, 16570127, 433060499, 67300161, 94016181",Catnip,canin,Catnip vs canin,101698448,1.0,True,2345.0,4.0,9.0,0.0,10.0,0.0,0.55172414,2.0,0.0,115.10195,1.0,7.0,8.0,5.0,24.0,93.0,0.0,432.0,666.0,14795.0,19504.0,1172.0,0.0,5.33,32.0,1.0,1.0,0.0,0.0,228.0,330.0,4.0,84.5,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,3.0,0.0,4.0,86.0,2.0,1.0,0.0,10.0,2.0
