,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8759502946,1775416649,9729851,10048426,"395439489, 167445998, 158234271, 160702825, 350889953",Jibbo,"178007846, 73877347, 1010247178, 256487232, 351461838",greenman,"Jibbo, greenman"
1,8759418703,1775412849,9729851,10048426,"395439489, 160702825, 350889953, 158234271, 167445998",Jibbo,"1010247178, 73877347, 178007846, 256487232, 351461838",greenman,"Jibbo, greenman"
2,8759410457,1775412551,10060389,10060375,"53410282, 89873399, 171209085, 123927630, 105900867",EXCH4NGE-,"279050958, 376256780, 253571081, 114945585, 95583731",Booooooooooooo,"Booooooooooooo, EXCH4NGE-"
