,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8759603052,1775421837,10054760,10059922,"78114459, 317992803, 93627869, 188835072, 143642783",Jam Apple YNWA,"105128443, 71904413, 40096638, 107986231, 169378005",Mog,"Jam Apple YNWA, Mog"
1,8759508707,1775416933,10060386,10061028,"366643158, 133442785, 84712191, 96982592, 302475730",KUBSKOUT,"467852245, 1900544962, 98926063, 50964, 128015002",Lewis,"KUBSKOUT, Lewis"
2,8759506237,1775416818,10054760,10059922,"78114459, 317992803, 93627869, 188835072, 143642783",Jam Apple YNWA,"105128443, 71904413, 40096638, 107986231, 169378005",Mog,"Jam Apple YNWA, Mog"
3,8759418350,1775412982,10060386,10061028,"366643158, 133442785, 302475730, 84712191, 96982592",KUBSKOUT,"467852245, 98926063, 1900544962, 50964, 128015002",Lewis,"KUBSKOUT, Lewis"
4,8759410457,1775412551,10060389,10060375,"53410282, 89873399, 171209085, 123927630, 105900867",,"279050958, 376256780, 253571081, 114945585, 95583731",Hope-,", Hope-"
5,8759401871,1775412145,10054760,10059922,"78114459, 317992803, 188835072, 93627869, 143642783",Jam Apple YNWA,"71904413, 40096638, 105128443, 107986231, 169378005",Mog,"Jam Apple YNWA, Mog"
