,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8211534881,1741811433,9671568,9671569,"130098742, 48903560, 167275877, 433060499, 50964",BErt,"88342733, 287978960, 395439489, 1068541028, 69119093",GladeFrede,"BErt, GladeFrede"
1,8211522976,1741810709,9671061,9671460,"56404086, 95578104, 328654348, 89873399, 93543072",Dominic,"256487232, 188263974, 101698448, 179205309, 79490121",Epona,"Dominic, Epona"
2,8211519017,1741810470,9671540,9671566,"173091071, 859812912, 1290857335, 160702825, 164879117",YOZh666,"78114459, 317992803, 350169818, 224257494, 127733940",canin,"YOZh666, canin"
3,8211451382,1741806709,9671540,9671566,"173091071, 1290857335, 859812912, 160702825, 164879117",YOZh666,"78114459, 350169818, 317992803, 127733940, 224257494",canin,"YOZh666, canin"
4,8211447676,1741806540,9671061,9671460,"89873399, 328654348, 56404086, 63351306, 95578104",Dominic,"256487232, 188263974, 79490121, 101698448, 179205309",Epona,"Dominic, Epona"
5,8211447109,1741806528,9671568,9671569,"130098742, 433060499, 48903560, 167275877, 50964",BErt,"88342733, 287978960, 395439489, 1068541028, 69119093",GladeFrede,"BErt, GladeFrede"
