,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8696560256,1771447152,10054828,10047929,"79595398, 33083416, 116643277, 302475730, 127527866",Jones,"130488545, 130098742, 350889953, 422283824, 23765698",bernard humperdink,"Jones, bernard humperdink"
1,8696542035,1771445999,10027201,10060932,"1900544962, 78839243, 366643158, 89873399, 446223551",Potentiallyyouruncle,"135124996, 188263974, 48903560, 133674320, 86776312",LegAlex,"LegAlex, Potentiallyyouruncle"
2,8696535285,1771445603,10048438,10054784,"433060499, 149253098, 30428142, 46739074, 15799146",Catnip,"417265967, 171209085, 458334798, 94051629, 106411799",zRomep,"Catnip, zRomep"
3,8696530725,1771445330,10054816,10054819,"125847008, 287978960, 1020037084, 50964, 348675639",rinkusaur,"117635532, 61293187, 97202033, 323492015, 102284551",Cat,"Cat, rinkusaur"
4,8696473549,1771442121,10048438,10054784,"433060499, 46739074, 15799146, 30428142, 149253098",Catnip,"417265967, 94051629, 458334798, 171209085, 106411799",zRomep,"Catnip, zRomep"
5,8696465382,1771441713,10047929,10054828,"130098742, 350889953, 130488545, 422283824, 23765698",bernard humperdink,"79595398, 33083416, 116643277, 302475730, 127527866",Jones,"Jones, bernard humperdink"
6,8696462644,1771441605,10054819,10054816,"117635532, 61293187, 323492015, 97202033, 102284551",Cat,"287978960, 125847008, 1020037084, 348675639, 50964",rinkusaur,"Cat, rinkusaur"
7,8696461669,1771441529,10027201,10060932,"1900544962, 78839243, 366643158, 446223551, 89873399",Potentiallyyouruncle,"133674320, 135124996, 188263974, 48903560, 86776312",LegAlex,"LegAlex, Potentiallyyouruncle"
