,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8523763021,1761163270,9938804,9939004,"89873399, 446223551, 15799146, 433060499, 112651997",HungryBrowny,"132284921, 23765698, 287978960, 859609158, 61293187",iggy,"HungryBrowny, iggy"
1,8523721928,1761161100,9928766,9938385,"110961903, 1068541028, 102033295, 350889953, 1392360555",m.,"116643277, 130098742, 130488545, 256487232, 86776312",FTG,"FTG, m."
2,8523714436,1761160731,9929969,9938979,"334809072, 105128443, 224257494, 79490121, 146542636",NERK,"133442785, 125847008, 84634050, 135124996, 50964",Rinkugod,"NERK, Rinkugod"
3,8523705375,1761160287,9792025,9938998,"417265967, 186001678, 48903560, 94051629, 436587897",zRomep,"120875601, 127714243, 153196865, 95578104, 323492015",Qso,"Qso, zRomep"
4,8523697541,1761160044,9933904,9790029,"380253961, 467852245, 314028798, 150165364, 348675639",Cooke,"1536452978, 208993316, 188263974, 112230046, 143642783",Jam Apple YNWA,"Cooke, Jam Apple YNWA"
5,8523689851,1761159554,9938997,9929656,"1017209, 258957435, 99747231, 42218651, 40096638",Fumblegod,"303676244, 296283389, 83748438, 34972422, 127527866",Harmani,"Fumblegod, Harmani"
6,8523635755,1761157111,9929969,9938979,"334809072, 105128443, 224257494, 121439102, 146542636",NERK,"125847008, 84634050, 135124996, 133442785, 50964",Rinkugod,"NERK, Rinkugod"
7,8523635205,1761157071,9938385,9928766,"116643277, 130488545, 130098742, 256487232, 86776312",FTG,"350889953, 1068541028, 1392360555, 110961903, 102033295",m.,"FTG, m."
8,8523628998,1761156879,9938385,9928766,"116643277, 130488545, 256487232, 130098742, 86776312",FTG,"350889953, 110961903, 1392360555, 1068541028, 102033295",m.,"FTG, m."
9,8523622277,1761156493,9933904,9790029,"380253961, 314028798, 467852245, 150165364, 348675639",Cooke,"208993316, 143642783, 112230046, 1536452978, 188263974",Jam Apple YNWA,"Cooke, Jam Apple YNWA"
10,8523622168,1761156535,9938804,9939004,"89873399, 446223551, 15799146, 112651997, 433060499",HungryBrowny,"859609158, 132284921, 61293187, 23765698, 287978960",iggy,"HungryBrowny, iggy"
11,8523620234,1761156439,9938998,9792025,"153196865, 120875601, 323492015, 95578104, 127714243",Qso,"417265967, 436587897, 186001678, 94051629, 48903560",zRomep,"Qso, zRomep"
12,8523611893,1761156087,9938997,9929656,"1017209, 258957435, 99747231, 42218651, 40096638",Fumblegod,"34972422, 303676244, 296283389, 83748438, 127527866",Harmani,"Fumblegod, Harmani"
