,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,7903470345,1724008745,9498472,9504620,"95583731, 73466852, 96982592, 172386727, 71904413",Hope-,"16570127, 1061292669, 433060499, 149253098, 95966544",Catnip,"Catnip, Hope-"
1,7903465042,1724008527,9498913,9504642,"99374795, 1102469941, 95617179, 167618363, 26793089",Jh,"30428142, 349518239, 181695259, 23765698, 67300161",Weak,"Jh, Weak"
2,7903463245,1724008458,9499304,9504635,"366643158, 94550441, 1010247178, 39418347, 111041999",KayTD,"159179884, 121072430, 120430219, 127714243, 170319481",owey,"KayTD, owey"
3,7903374779,1724004759,9504642,9498913,"349518239, 23765698, 181695259, 67300161, 30428142",Weak,"99374795, 1102469941, 95617179, 167618363, 26793089",Jh,"Jh, Weak"
4,7903371959,1724004594,9498472,9504620,"73466852, 95583731, 96982592, 71904413, 172386727",Hope-,"16570127, 149253098, 1061292669, 95966544, 433060499",Catnip,"Catnip, Hope-"
5,7903361409,1724004163,9499304,9504635,"366643158, 111041999, 1010247178, 39418347, 94550441",KayTD,"170319481, 120430219, 159179884, 127714243, 121072430",owey,"KayTD, owey"
