,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8519448476,1760901904,9929176,9938258,"134600696, 153031584, 143642783, 224257494, 1077021946",Muko,"30428142, 1020037084, 183135545, 1392360555, 209644143",Potentiallyyouruncle,"Muko, Potentiallyyouruncle"
1,8519442387,1760901617,9938271,9928875,"95583731, 3411801, 1851747526, 235105193, 139197978",Flyke,"95706137, 1839270157, 1536452978, 188835072, 113421645",Ragicarpe,"Flyke, Ragicarpe"
2,8519441061,1760901577,9933904,9928971,"99374795, 417265967, 380253961, 153196865, 169606098",Jh,"998100824, 467852245, 105900867, 172386727, 142736893",SeLRa,"Jh, SeLRa"
3,8519342170,1760897494,9928971,9933904,"467852245, 105900867, 172386727, 998100824, 142736893",SeLRa,"99374795, 417265967, 380253961, 169606098, 69347241",Jh,"Jh, SeLRa"
4,8519337183,1760897391,9938271,9928875,"95583731, 139197978, 3411801, 1851747526, 323492015",Flyke,"95706137, 113421645, 1536452978, 1839270157, 188835072",Ragicarpe,"Flyke, Ragicarpe"
5,8519331436,1760897090,9938258,9929176,"1392360555, 209644143, 1020037084, 30428142, 183135545",Potentiallyyouruncle,"153031584, 1077021946, 143642783, 134600696, 224257494",Muko,"Muko, Potentiallyyouruncle"
