,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8578090715,1764188955,9948667,9928766,"1536452978, 112230046, 188263974, 179070642, 143642783",Jam Apple YNWA,"350889953, 323492015, 110961903, 1392360555, 40625516",m.,"Jam Apple YNWA, m."
1,8578081961,1764188416,9938998,9939004,"153196865, 149253098, 120875601, 95578104, 328654348",Qso,"132284921, 859609158, 287978960, 61293187, 23765698",iggy,"Qso, iggy"
2,8578080769,1764188354,9938385,9776167,"116643277, 130488545, 256487232, 130098742, 86776312",FTG,"417265967, 252204635, 48903560, 94051629, 186001678",zRomep,"FTG, zRomep"
3,8578063963,1764187494,9939048,9938804,"83815457, 150165364, 467852245, 314028798, 348675639",Cooke,"89873399, 446223551, 15799146, 112651997, 433060499",HungryBrowny,"Cooke, HungryBrowny"
4,8578009636,1764184873,9939004,9938998,"132284921, 287978960, 61293187, 23765698, 859609158",iggy,"153196865, 328654348, 149253098, 95578104, 120875601",Qso,"Qso, iggy"
5,8578008689,1764184835,9938385,9776167,"130098742, 256487232, 116643277, 130488545, 86776312",FTG,"417265967, 186001678, 94051629, 48903560, 252204635",zRomep,"FTG, zRomep"
6,8578008431,1764184836,9928766,9948667,"350889953, 102033295, 323492015, 1392360555, 110961903",m.,"179070642, 112230046, 188263974, 1536452978, 143642783",Jam Apple YNWA,"Jam Apple YNWA, m."
7,8577994972,1764184178,9938804,9939048,"89873399, 446223551, 15799146, 112651997, 433060499",HungryBrowny,"467852245, 83815457, 314028798, 150165364, 348675639",Cooke,"Cooke, HungryBrowny"
