,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8551084833,1762721267,9938284,9929788,"241158366, 142288025, 317992803, 146542636, 50964",Drregron,"94051629, 1010247178, 256487232, 61634693, 112651997",Ayanakoji,"Ayanakoji, Drregron"
1,8551063344,1762720090,9938278,9938279,"105128443, 322474716, 83273345, 364675035, 39418347",Mog,"126607959, 158600852, 135738807, 84712191, 69119093",Daft,"Daft, Mog"
2,8551044296,1762719089,9928494,9928314,"279050958, 376256780, 73877347, 107986231, 71904413",Boo,"133442785, 94550441, 114945585, 350889953, 374488452",Foamer,"Boo, Foamer"
3,8550966562,1762715276,9938279,9938278,"126607959, 158600852, 135738807, 84712191, 69119093",Daft,"105128443, 83273345, 322474716, 364675035, 39418347",Mog,"Daft, Mog"
4,8550965799,1762715292,9929788,9938284,"94051629, 1010247178, 61634693, 256487232, 112651997",Ayanakoji,"241158366, 142288025, 146542636, 317992803, 50964",Drregron,"Ayanakoji, Drregron"
5,8550960925,1762715058,9928314,9928494,"374488452, 133442785, 114945585, 94550441, 350889953",Foamer,"376256780, 73877347, 279050958, 107986231, 71904413",Boo,"Boo, Foamer"
