,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8599396536,1765397977,9938804,9939004,"89873399, 446223551, 15799146, 112651997, 433060499",HungryBrowny,"61293187, 859609158, 287978960, 132284921, 23765698",iggy,"HungryBrowny, iggy"
1,8599317538,1765393929,9938804,9939004,"89873399, 446223551, 15799146, 112651997, 433060499",HungryBrowny,"61293187, 287978960, 859609158, 132284921, 23765698",iggy,"HungryBrowny, iggy"
2,8588924218,1764795589,9939004,9776167,"132284921, 287978960, 61293187, 859609158, 23765698",iggy,"417265967, 48903560, 186001678, 94051629, 252204635",zRomep,"iggy, zRomep"
3,8588884769,1764793395,9938804,9928766,"89873399, 446223551, 15799146, 433060499, 112651997",HungryBrowny,"323492015, 110961903, 102033295, 350889953, 1392360555",m.,"HungryBrowny, m."
4,8588872102,1764792546,9776167,9939004,"417265967, 94051629, 48903560, 252204635, 186001678",zRomep,"859609158, 287978960, 23765698, 61293187, 132284921",iggy,"iggy, zRomep"
5,8588812075,1764789435,9938804,9928766,"89873399, 446223551, 433060499, 15799146, 112651997",HungryBrowny,"350889953, 110961903, 1392360555, 323492015, 102033295",m.,"HungryBrowny, m."
6,8588804445,1764789025,9939004,9776167,"132284921, 61293187, 287978960, 859609158, 23765698",iggy,"417265967, 48903560, 186001678, 94051629, 252204635",zRomep,"iggy, zRomep"
