,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8555662418,1762980392,9928766,9938979,"350889953, 102033295, 323492015, 110961903, 1392360555",m.,"125847008, 133442785, 50964, 135124996, 338052760",Rinkugod,"Rinkugod, m."
1,8555656804,1762980077,9938997,9938998,"1017209, 42218651, 351461838, 99747231, 40096638",Fumblegod,"153196865, 149253098, 120875601, 95578104, 1839270157",Qso,"Fumblegod, Qso"
2,8555629406,1762978692,9929656,9948667,"52550130, 127527866, 303676244, 107986231, 34972422",Harmani,"208993316, 1536452978, 188263974, 112230046, 143642783",Jam Apple YNWA,"Harmani, Jam Apple YNWA"
3,8555626876,1762978553,9929656,9948667,52550130,,"208993316, 1536452978, 188263974, 112230046, 143642783",Jam Apple YNWA,", Jam Apple YNWA"
4,8555625507,1762978599,9938385,9938804,"116643277, 130098742, 130488545, 256487232, 86776312",FTG,"89873399, 446223551, 15799146, 433060499, 112651997",HungryBrowny,"FTG, HungryBrowny"
5,8555619971,1762978250,9939048,9792025,"467852245, 380253961, 314028798, 150165364, 348675639",Cooke,"417265967, 186001678, 252204635, 94051629, 48903560",zRomep,"Cooke, zRomep"
6,8555551851,1762975293,9939004,9948666,"859609158, 287978960, 132284921, 23765698, 61293187",iggy,"334809072, 105128443, 146542636, 90443916, 111886427",NERK,"NERK, iggy"
7,8555548861,1762975191,9939048,9792025,"314028798, 467852245, 380253961, 150165364, 348675639",Cooke,"417265967, 252204635, 186001678, 94051629, 48903560",zRomep,"Cooke, zRomep"
8,8555544973,1762975026,9938385,9938804,"116643277, 130488545, 130098742, 256487232, 86776312",FTG,"89873399, 112651997, 15799146, 433060499, 446223551",HungryBrowny,"FTG, HungryBrowny"
9,8555534133,1762974450,9938997,9938998,"1017209, 351461838, 99747231, 42218651, 40096638",Fumblegod,"153196865, 149253098, 1839270157, 95578104, 120875601",Qso,"Fumblegod, Qso"
10,8555532854,1762974373,9938979,9928766,"84634050, 125847008, 133442785, 135124996, 50964",Rinkugod,"350889953, 110961903, 323492015, 102033295, 1392360555",m.,"Rinkugod, m."
11,8555532789,1762974370,9929656,9948667,"127527866, 34972422, 303676244, 107986231, 52550130",Harmani,"208993316, 143642783, 188263974, 112230046, 1536452978",Jam Apple YNWA,"Harmani, Jam Apple YNWA"
