,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8230522106,1743026136,9671540,9671566,"173091071, 235385167, 1290857335, 859812912, 160702825",YOZh666,"78114459, 224257494, 127733940, 317992803, 350169818",canin,"YOZh666, canin"
1,8230480768,1743023027,9671569,9671561,"88342733, 287978960, 1068541028, 395439489, 69119093",GladeFrede,"105128443, 149253098, 143214129, 23765698, 252657179",Moggoblin,"GladeFrede, Moggoblin"
2,8230470057,1743022312,9671540,9671566,"173091071, 235385167, 1077021946, 1290857335, 160702825",YOZh666,"78114459, 350169818, 127733940, 317992803, 224257494",canin,"YOZh666, canin"
3,8230446983,1743020885,9671568,9671061,"130098742, 433060499, 167275877, 117740659, 50964",BErt,"56404086, 89873399, 1029351306, 328654348, 93543072",Dominic,"BErt, Dominic"
4,8230412312,1743018721,9671569,9671561,"1068541028, 287978960, 395439489, 69119093, 88342733",GladeFrede,"105128443, 149253098, 23765698, 252657179, 143214129",Moggoblin,"GladeFrede, Moggoblin"
5,8230373708,1743016505,9671568,9671061,"130098742, 116643277, 433060499, 117740659, 50964",BErt,"56404086, 1029351306, 328654348, 89873399, 93543072",Dominic,"BErt, Dominic"
6,8230368646,1743016299,9671540,9671566,"173091071, 235385167, 1077021946, 160702825, 1290857335",YOZh666,"350169818, 317992803, 78114459, 224257494, 127733940",canin,"YOZh666, canin"
7,8230362552,1743015939,9671569,9671561,"1068541028, 287978960, 88342733, 395439489, 69119093",GladeFrede,"105128443, 149253098, 143214129, 23765698, 252657179",Moggoblin,"GladeFrede, Moggoblin"
