,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,7997086350,1729455966,9504620,9504635,"149253098, 1061292669, 16570127, 117740659, 433060499",Catnip,"159179884, 120430219, 170319481, 121072430, 127714243",owey,"Catnip, owey"
1,7997029232,1729453011,9498472,9504645,"95583731, 73466852, 96982592, 172386727, 71904413",Hope-,"61634693, 207300381, 1240080323, 95578104, 69347241",VIKING,"Hope-, VIKING"
2,7996920107,1729448214,9504645,9498472,"207300381, 95578104, 61634693, 69347241, 1240080323",VIKING,"95583731, 73466852, 96982592, 172386727, 71904413",Hope-,"Hope-, VIKING"
3,7996903371,1729447541,9504635,9504620,"120430219, 170319481, 121072430, 159179884, 127714243",owey,"1061292669, 149253098, 433060499, 117740659, 16570127",Catnip,"Catnip, owey"
