,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8573743598,1763933259,9928875,9938258,"492733459, 1536452978, 319850520, 188835072, 95706137",Ragicarpe,"1392360555, 209644143, 183135545, 30428142, 1020037084",Potentiallyyouruncle,"Potentiallyyouruncle, Ragicarpe"
1,8573661179,1763928915,9938258,9928875,"1392360555, 183135545, 30428142, 209644143, 1020037084",Potentiallyyouruncle,"492733459, 319850520, 1536452978, 95706137, 188835072",Ragicarpe,"Potentiallyyouruncle, Ragicarpe"
2,8573656197,1763928735,9938271,9928971,"323492015, 95583731, 3411801, 139093519, 139197978",Flyke,"467852245, 142736893, 105900867, 159179884, 172386727",SeLRa,"Flyke, SeLRa"
3,8573569825,1763924898,9938271,9928971,"3411801, 95583731, 139093519, 323492015, 139197978",Flyke,"142736893, 467852245, 159179884, 105900867, 172386727",SeLRa,"Flyke, SeLRa"
4,8573565439,1763924671,9928875,9938258,"95706137, 1536452978, 492733459, 188835072, 319850520",Ragicarpe,"1392360555, 183135545, 30428142, 209644143, 1020037084",Potentiallyyouruncle,"Potentiallyyouruncle, Ragicarpe"
