,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8595255900,1765145030,9929176,9933904,"1077021946, 143642783, 153031584, 134600696, 224257494",Muko,"417265967, 380253961, 169606098, 40096638, 153196865",Jh,"Jh, Muko"
1,8595186185,1765140527,9933904,9929176,"417265967, 380253961, 169606098, 40096638, 153196865",Jh,"153031584, 134600696, 1077021946, 224257494, 143642783",Muko,"Jh, Muko"
2,8595075445,1765135012,9929176,9933904,"134600696, 1077021946, 153031584, 224257494, 143642783",Muko,"417265967, 380253961, 169606098, 153196865, 40096638",Jh,"Jh, Muko"
