,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8415823159,1755113068,9723974,9844559,"186001678, 380253961, 287978960, 71551920, 94051629",Beno,"78114459, 423698025, 69119093, 50964, 104880759",canin,"Beno, canin"
1,8415822771,1755112998,9844551,9844562,"93627869, 312283978, 347405447, 87179570, 86776312",Lanfe4r,"237045766, 188263974, 256487232, 65159250, 23765698",Kiritoya-,"Kiritoya-, Lanfe4r"
2,8415818042,1755112794,9839218,9844231,"143642783, 165749983, 83914882, 127524729, 467852245",Jam Apple YNWA,"102879403, 1536452978, 89873399, 130098742, 5668067",Wiolarz,"Jam Apple YNWA, Wiolarz"
3,8415751397,1755109422,9844562,9844551,"237045766, 256487232, 65159250, 188263974, 23765698",Kiritoya-,"93627869, 312283978, 347405447, 86776312, 87179570",Lanfe4r,"Kiritoya-, Lanfe4r"
4,8415727990,1755108276,9844231,9839218,"102879403, 130098742, 1536452978, 89873399, 5668067",Wiolarz,"127524729, 467852245, 83914882, 165749983, 143642783",Jam Apple YNWA,"Jam Apple YNWA, Wiolarz"
5,8415725342,1755108151,9723974,9844559,"186001678, 287978960, 71551920, 94051629, 380253961",Beno,"78114459, 423698025, 69119093, 104880759, 50964",canin,"Beno, canin"
