,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8239497049,1743622066,9671568,9671566,"130098742, 50964, 167275877, 117740659, 433060499",BErt,"224257494, 78114459, 350169818, 317992803, 127733940",canin,"BErt, canin"
1,8239496924,1743622043,9671569,9671061,"88342733, 287978960, 395439489, 1068541028, 69119093",GladeFrede,"56404086, 1029351306, 328654348, 89873399, 93543072",Dominic,"Dominic, GladeFrede"
2,8239416084,1743617640,9671568,9671566,"433060499, 130098742, 167275877, 117740659, 50964",BErt,"78114459, 127733940, 350169818, 317992803, 224257494",canin,"BErt, canin"
3,8239410648,1743617316,9671569,9671061,"395439489, 88342733, 287978960, 1068541028, 69119093",GladeFrede,"56404086, 1029351306, 328654348, 89873399, 93543072",Dominic,"Dominic, GladeFrede"
