,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8702315762,1771791866,10059922,10060386,"105128443, 40096638, 71904413, 107986231, 169378005",Mog,"366643158, 96982592, 133442785, 302475730, 84712191",KUBSKOUT,"KUBSKOUT, Mog"
1,8702306211,1771791405,10060398,10054760,"417265967, 106411799, 458334798, 359379712, 86776312",zRomep,"93627869, 134600696, 78114459, 188835072, 143642783",Jam Apple YNWA,"Jam Apple YNWA, zRomep"
2,8702303893,1771791304,10067501,10061028,"467852245, 61293187, 95583731, 30428142, 139197978",Hope-,"50964, 128015002, 1900544962, 23765698, 98926063",Lewis,"Hope-, Lewis"
3,8702215947,1771787316,10060386,10059922,"366643158, 133442785, 96982592, 302475730, 84712191",KUBSKOUT,"71904413, 105128443, 40096638, 107986231, 169378005",Mog,"KUBSKOUT, Mog"
4,8702212216,1771787279,10061028,10067501,"50964, 1900544962, 23765698, 128015002, 98926063",Lewis,"61293187, 95583731, 467852245, 30428142, 139197978",Hope-,"Hope-, Lewis"
5,8702210405,1771787077,10060398,10054760,"417265967, 106411799, 359379712, 458334798, 86776312",zRomep,"93627869, 188835072, 78114459, 134600696, 143642783",Jam Apple YNWA,"Jam Apple YNWA, zRomep"
