,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8530115163,1761510563,9946756,9938277,"150165364, 148339920, 314028798, 149253098, 125155223",ypsilon,"179070642, 133674320, 78114459, 351461838, 124373730",Major,"Major, ypsilon"
1,8530113881,1761510539,9927727,9938381,"133394639, 94343419, 125847008, 433060499, 296283389",Melog,"116643277, 150522382, 464676703, 183938343, 130098742",FTG,"FTG, Melog"
2,8530109587,1761510311,6278453,9723974,"208993316, 287978960, 331093840, 49570863, 120875601",Cardinalstar,"403659586, 186001678, 179205309, 149739956, 127733940",Beno,"Beno, Cardinalstar"
3,8530106335,1761510142,9938276,9938267,"348675639, 235385167, 89873399, 252204635, 127038234",Nanashi,"188263974, 67329300, 395439489, 127524729, 204524065",owl,"Nanashi, owl"
4,8530012880,1761505980,9938267,9938276,"188263974, 204524065, 67329300, 127524729, 395439489",owl,"348675639, 235385167, 89873399, 252204635, 127038234",Nanashi,"Nanashi, owl"
5,8530007753,1761505789,9723974,6278453,"186001678, 179205309, 149739956, 403659586, 127733940",Beno,"208993316, 49570863, 120875601, 287978960, 331093840",Cardinalstar,"Beno, Cardinalstar"
6,8530000144,1761505439,9946756,9938277,"149253098, 314028798, 148339920, 150165364, 125155223",ypsilon,"133674320, 179070642, 78114459, 351461838, 124373730",Major,"Major, ypsilon"
