,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8007589644,1730063570,9504503,9504639,"376256780, 253571081, 111886427, 279050958, 27997450",mash,"188263974, 133498685, 102352451, 89873399, 63351306",Owl,"Owl, mash"
1,8007527162,1730060360,9504503,9504639,"253571081, 376256780, 279050958, 111886427, 27997450",mash,"188263974, 102352451, 133498685, 89873399, 63351306",Owl,"Owl, mash"
2,8007422673,1730055916,9504639,9504503,"188263974, 133498685, 102352451, 89873399, 63351306",Owl,"253571081, 376256780, 27997450, 279050958, 111886427",mash,"Owl, mash"
