,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8530146150,1761512178,9933904,9929176,"417265967, 380253961, 99374795, 169606098, 153196865",Jh,"224257494, 1077021946, 153031584, 134600696, 143642783",Muko,"Jh, Muko"
1,8530122860,1761510951,9938271,9938258,"95583731, 3411801, 235105193, 139093519, 139197978",Flyke,"209644143, 1392360555, 30428142, 183135545, 1020037084",Potentiallyyouruncle,"Flyke, Potentiallyyouruncle"
2,8530089451,1761509394,9928875,9928971,"95706137, 188835072, 1010247178, 1839270157, 113421645",Ragicarpe,"142736893, 159179884, 467852245, 172386727, 105900867",SeLRa,"Ragicarpe, SeLRa"
3,8530006404,1761505756,9928875,9928971,"95706137, 188835072, 113421645, 1010247178, 1839270157",Ragicarpe,"142736893, 159179884, 172386727, 467852245, 105900867",SeLRa,"Ragicarpe, SeLRa"
4,8530005292,1761505647,9929176,9933904,"1077021946, 153031584, 143642783, 134600696, 224257494",Muko,"99374795, 380253961, 417265967, 153196865, 169606098",Jh,"Jh, Muko"
5,8529998604,1761505374,9938271,9938258,"95583731, 235105193, 3411801, 139093519, 139197978",Flyke,"1392360555, 183135545, 209644143, 1020037084, 30428142",Potentiallyyouruncle,"Flyke, Potentiallyyouruncle"
