,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8540657870,1762115716,9938267,9723974,"188263974, 110961903, 204524065, 127524729, 395439489",owl,"403659586, 186001678, 149739956, 179205309, 127733940",Beno,"Beno, owl"
1,8540643388,1762115027,9938381,9946756,"150522382, 116643277, 464676703, 183938343, 130098742",FTG,"150165364, 148339920, 314028798, 149253098, 125155223",ypsilon,"FTG, ypsilon"
2,8540628877,1762114301,9938276,6278453,"348675639, 235385167, 89873399, 252204635, 127038234",Nanashi,"208993316, 49570863, 331093840, 287978960, 120875601",Cardinalstar,"Cardinalstar, Nanashi"
3,8540611613,1762113513,9927727,9938277,"133394639, 433060499, 125847008, 94343419, 296283389",Melog,"179070642, 351461838, 78114459, 133674320, 124373730",Major,"Major, Melog"
4,8540560252,1762111191,9938276,6278453,"348675639, 235385167, 252204635, 89873399, 127038234",Nanashi,"208993316, 49570863, 287978960, 331093840, 120875601",Cardinalstar,"Cardinalstar, Nanashi"
5,8540548672,1762110699,9946756,9938381,"314028798, 148339920, 149253098, 150165364, 125155223",ypsilon,"130098742, 150522382, 464676703, 116643277, 183938343",FTG,"FTG, ypsilon"
6,8540545297,1762110587,9723974,9938267,"186001678, 403659586, 179205309, 127733940, 149739956",Beno,"188263974, 110961903, 395439489, 127524729, 204524065",owl,"Beno, owl"
7,8540536109,1762110163,9927727,9938277,"133394639, 125847008, 433060499, 94343419, 296283389",Melog,"133674320, 351461838, 179070642, 78114459, 124373730",Major,"Major, Melog"
