,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,7653729679,1711317677,9322733,9316641,"139093519, 150522382, 339287767, 48903560, 28888813",Kanto/Farro/Tom/Cursed One,"73877347, 364035017, 111041999, 135738807, 83500633",greenman,"Kanto/Farro/Tom/Cursed One, greenman"
1,7653624502,1711311883,9316641,9322733,"73877347, 364035017, 111041999, 83500633, 135738807",greenman,"28888813, 150522382, 339287767, 48903560, 139093519",Kanto/Farro/Tom/Cursed One,"Kanto/Farro/Tom/Cursed One, greenman"
2,7653522996,1711307455,9322733,9316641,"139093519, 150522382, 48903560, 24024934, 28888813",Kanto/Farro/Tom/Cursed One,"364035017, 73877347, 111041999, 135738807, 83500633",greenman,"Kanto/Farro/Tom/Cursed One, greenman"
